Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,CTDC,0.8057,0.726,0.8588,0.7491,0.5917,0.8189,21
2,AAC,0.7962,0.7021,0.8588,0.7335,0.5705,0.8156,20
3,CTDT,0.7839,0.6781,0.8542,0.7148,0.5437,0.8128,21
4,GAAC,0.7866,0.6712,0.8633,0.7153,0.5488,0.7947,5
5,DPC,0.7319,0.7089,0.7472,0.6787,0.4506,0.7817,400
6,PAAC,0.7387,0.6199,0.8178,0.6546,0.4474,0.7732,23
7,BioBERT,0.7073,0.5616,0.8041,0.6052,0.3776,0.7471,768
8,ProtT5,0.7086,0.5582,0.8087,0.6048,0.3799,0.7403,1024
9,ESMC,0.6689,0.5377,0.7563,0.5647,0.2997,0.7221,1152
10,ESM2,0.684,0.5411,0.779,0.5777,0.329,0.7164,1280
11,ProtBERT,0.6471,0.4726,0.7631,0.5169,0.2453,0.6656,1024
