y_true,y_pred,prob_positive,prob_negative
0,0,0.22873417,0.77126586
1,1,0.6873759,0.3126241
0,0,0.21129228,0.78870773
1,0,0.13779014,0.86220986
1,1,0.85446775,0.14553225
0,0,0.46685335,0.5331466
0,0,0.19833486,0.8016651
0,1,0.864269,0.13573098
1,1,0.8554348,0.14456522
1,1,0.6490224,0.3509776
1,1,0.7874198,0.2125802
0,0,0.23031498,0.76968503
0,0,0.2595068,0.7404932
1,1,0.89610803,0.10389197
1,0,0.19888313,0.8011169
1,1,0.80068624,0.19931376
0,0,0.2714391,0.7285609
0,0,0.11305143,0.8869486
1,0,0.15889512,0.84110487
0,0,0.25300965,0.7469903
1,1,0.90344054,0.096559465
0,0,0.19795091,0.8020491
0,1,0.6760829,0.3239171
1,1,0.77949435,0.22050565
0,0,0.12193453,0.87806547
1,0,0.20030625,0.79969376
0,1,0.52720547,0.47279453
0,0,0.16344874,0.83655125
0,0,0.121673316,0.87832665
0,1,0.7804802,0.2195198
1,1,0.8046103,0.19538969
0,0,0.2156421,0.7843579
0,0,0.13985589,0.86014414
0,0,0.26919365,0.73080635
0,0,0.3965939,0.6034061
1,1,0.75253254,0.24746746
0,1,0.7859442,0.21405578
0,0,0.14594316,0.85405684
0,0,0.16133362,0.8386664
0,0,0.20103912,0.79896086
1,1,0.8516678,0.14833218
0,0,0.12696151,0.8730385
0,0,0.09449676,0.9055033
1,1,0.80500704,0.19499296
1,1,0.55079347,0.44920653
0,1,0.5489047,0.45109528
1,1,0.86460245,0.13539755
0,0,0.12287787,0.8771221
1,1,0.8699206,0.13007939
0,0,0.1962869,0.8037131
0,0,0.39464748,0.6053525
1,1,0.7578031,0.24219692
0,0,0.18280977,0.81719023
1,1,0.78647155,0.21352845
1,1,0.57072645,0.42927355
0,0,0.23546389,0.76453614
0,0,0.2594126,0.7405874
0,0,0.08997334,0.91002667
1,0,0.08637458,0.9136254
1,0,0.40057653,0.59942347
0,0,0.34427813,0.6557219
1,0,0.27838087,0.7216191
0,0,0.28607067,0.7139293
0,0,0.40219337,0.59780663
1,1,0.8393248,0.16067523
0,0,0.28563997,0.71436
1,1,0.5476502,0.45234978
1,0,0.35177547,0.64822453
1,0,0.40777987,0.5922201
