y_true,y_pred,prob_positive,prob_negative
0,0,0.36224434,0.63775563
1,0,0.3474575,0.6525425
0,0,0.44528744,0.55471253
1,0,0.13779238,0.86220765
1,1,0.9203531,0.079646885
0,1,0.7398691,0.26013088
0,0,0.23771153,0.76228845
0,1,0.74125856,0.25874144
1,1,0.962152,0.037847996
1,1,0.8228775,0.17712247
1,1,0.944299,0.055701017
0,1,0.52253026,0.47746974
0,0,0.32857493,0.6714251
1,1,0.7109244,0.2890756
1,1,0.6538213,0.3461787
1,1,0.9222537,0.07774627
0,0,0.34524384,0.6547562
0,0,0.25646618,0.74353385
1,0,0.40212178,0.5978782
0,1,0.5850898,0.4149102
1,1,0.93743145,0.062568545
0,0,0.25550857,0.74449146
0,0,0.37943313,0.62056684
1,1,0.5653594,0.4346406
0,0,0.1535677,0.8464323
1,1,0.5899538,0.41004622
0,0,0.4637478,0.5362522
0,0,0.22537144,0.7746286
0,0,0.41811717,0.58188283
0,1,0.7528117,0.24718833
1,1,0.8447895,0.1552105
0,0,0.3636569,0.6363431
0,0,0.28757527,0.71242476
0,0,0.3681286,0.6318714
0,0,0.46959803,0.53040195
1,1,0.6337706,0.36622941
0,1,0.9420372,0.057962775
0,0,0.21285594,0.78714406
0,0,0.17703708,0.82296294
0,0,0.39322007,0.60677993
1,1,0.9200718,0.07992822
0,0,0.28306255,0.7169374
0,1,0.50616735,0.49383265
1,1,0.7459893,0.25401068
1,0,0.26426727,0.73573273
0,1,0.85939115,0.14060885
1,1,0.8510909,0.14890909
0,0,0.1518006,0.84819937
1,1,0.7363338,0.2636662
0,0,0.32101855,0.6789814
0,0,0.4683184,0.5316816
1,1,0.7344362,0.2655638
0,0,0.1860932,0.8139068
1,0,0.2888435,0.7111565
1,0,0.4068372,0.5931628
0,0,0.28363588,0.71636415
0,0,0.28150538,0.71849465
0,0,0.1962099,0.8037901
1,0,0.24219176,0.7578082
1,0,0.45128468,0.54871535
0,0,0.27804643,0.7219536
1,0,0.24515004,0.75485
0,0,0.3580715,0.6419285
0,0,0.30571523,0.6942848
1,1,0.78519696,0.21480304
0,0,0.3886895,0.6113105
1,0,0.476451,0.52354896
1,0,0.4326234,0.5673766
1,0,0.21035844,0.78964156
1,1,0.7370725,0.26292747
1,1,0.82881725,0.17118275
0,0,0.22841951,0.77158046
0,0,0.43813592,0.5618641
0,0,0.35058504,0.64941496
1,0,0.38861817,0.6113818
