y_true,y_pred,prob_positive,prob_negative
0,0,0.49896076,0.50103927
1,1,0.6152006,0.38479942
0,1,0.509033,0.49096698
1,0,0.43703377,0.5629662
1,1,0.9024353,0.0975647
0,0,0.40680918,0.5931908
0,0,0.2740367,0.7259633
0,1,0.8015287,0.19847131
1,1,0.89031136,0.10968864
1,1,0.91758984,0.08241016
1,1,0.82538515,0.17461485
0,0,0.27869153,0.72130847
0,0,0.16751596,0.832484
1,1,0.81897366,0.18102634
1,0,0.3317958,0.6682042
1,1,0.86125386,0.13874614
0,0,0.37224033,0.6277597
0,0,0.15179157,0.8482084
1,0,0.3965312,0.6034688
0,0,0.31082693,0.6891731
1,1,0.791794,0.208206
0,0,0.23700838,0.7629916
0,0,0.4685138,0.5314862
1,1,0.825918,0.17408198
0,0,0.19481704,0.80518293
1,0,0.33113265,0.66886735
0,1,0.7845462,0.2154538
0,0,0.30288225,0.69711775
0,0,0.34655926,0.6534407
0,1,0.90178305,0.09821695
1,1,0.76475966,0.23524034
0,0,0.37303898,0.626961
0,0,0.34893423,0.65106577
0,1,0.6327873,0.3672127
0,0,0.49957913,0.50042087
1,1,0.8565116,0.1434884
0,1,0.8236644,0.17633557
0,0,0.19686846,0.8031315
0,0,0.22897057,0.7710294
0,0,0.24602275,0.75397724
1,1,0.80401534,0.19598466
0,0,0.2774565,0.7225435
0,1,0.56888485,0.43111515
1,1,0.7024393,0.2975607
1,1,0.6888257,0.31117427
0,1,0.7911118,0.20888817
1,1,0.911877,0.08812302
0,0,0.25927258,0.7407274
1,1,0.83499765,0.16500235
0,0,0.22342558,0.77657443
0,0,0.39580092,0.60419905
1,1,0.87996846,0.120031536
0,0,0.26440483,0.73559517
1,1,0.74427783,0.25572217
1,1,0.81737655,0.18262345
0,0,0.3676009,0.6323991
0,0,0.22559921,0.7744008
0,0,0.14496209,0.8550379
1,0,0.32585233,0.67414767
1,1,0.5095326,0.49046743
0,0,0.4975557,0.50244427
1,0,0.24997765,0.75002235
0,0,0.3608387,0.6391613
0,0,0.18846843,0.81153154
1,1,0.78949755,0.21050245
0,1,0.66139585,0.33860415
1,1,0.8807335,0.11926651
1,0,0.17219606,0.82780397
1,1,0.7670865,0.2329135
1,1,0.7678685,0.23213148
1,1,0.9061464,0.09385359
0,0,0.45664963,0.54335034
0,0,0.18556207,0.8144379
0,0,0.45624217,0.5437578
1,0,0.2857269,0.7142731
1,1,0.7757001,0.22429991
0,0,0.29911137,0.70088863
0,0,0.39497346,0.60502654
0,0,0.22276275,0.77723724
1,1,0.7691697,0.23083031
1,1,0.87125087,0.12874913
0,0,0.32994255,0.6700574
0,0,0.30113786,0.69886214
0,0,0.41057295,0.58942705
0,0,0.25144148,0.7485585
0,0,0.15926002,0.84073997
1,0,0.37873235,0.6212677
0,0,0.28291583,0.71708417
0,0,0.40401167,0.59598833
0,0,0.19667038,0.8033296
0,0,0.23093021,0.7690698
0,0,0.32665712,0.6733429
0,0,0.42279932,0.57720065
0,0,0.24685468,0.75314534
0,0,0.47257784,0.5274222
1,1,0.80117446,0.19882554
0,0,0.25149247,0.7485075
1,1,0.57129294,0.42870706
1,1,0.8139604,0.18603963
1,1,0.92090255,0.07909745
0,0,0.18567175,0.81432825
0,0,0.18282247,0.81717753
0,0,0.29836154,0.70163846
0,0,0.28559768,0.7144023
0,1,0.8953348,0.10466522
0,1,0.55297893,0.44702107
0,0,0.3043677,0.69563234
0,0,0.42424253,0.5757575
0,0,0.34097004,0.65902996
1,0,0.27062187,0.7293781
0,0,0.25034183,0.74965817
1,0,0.32490265,0.67509735
1,0,0.4198524,0.5801476
0,0,0.49172106,0.50827897
0,0,0.25633782,0.7436622
0,1,0.67974675,0.32025325
0,1,0.8306425,0.16935748
1,0,0.3080649,0.69193506
1,0,0.37858143,0.6214186
1,1,0.7481537,0.2518463
1,1,0.78970045,0.21029955
1,1,0.8583767,0.14162332
0,0,0.37225425,0.62774575
0,0,0.23598434,0.7640157
1,1,0.79567206,0.20432794
1,1,0.62596685,0.37403315
0,0,0.3033272,0.6966728
1,0,0.30916178,0.6908382
0,0,0.26329687,0.73670316
0,1,0.8442467,0.15575331
1,1,0.84419,0.15581
0,1,0.6848402,0.3151598
0,1,0.8013073,0.19869268
1,1,0.8213109,0.17868912
0,0,0.40186447,0.59813553
0,1,0.8229079,0.17709208
0,0,0.40390167,0.5960983
0,0,0.23505415,0.76494586
0,0,0.24176358,0.7582364
0,1,0.55548733,0.44451267
1,1,0.89891535,0.10108465
0,0,0.27741945,0.72258055
1,1,0.8154607,0.18453932
1,1,0.70965415,0.29034585
1,0,0.20647673,0.79352325
1,0,0.27303725,0.72696275
0,0,0.21892354,0.78107643
1,1,0.5465704,0.45342958
1,1,0.8710814,0.12891859
1,1,0.63091147,0.36908853
1,1,0.87795043,0.12204957
1,1,0.84965724,0.15034276
0,0,0.3623153,0.6376847
0,1,0.54906064,0.45093936
1,1,0.89548224,0.10451776
0,1,0.5424236,0.4575764
1,1,0.8156242,0.18437582
1,1,0.83938783,0.16061217
1,1,0.7620567,0.23794329
1,1,0.90485924,0.095140755
1,0,0.37960508,0.62039495
1,1,0.8738056,0.12619442
1,1,0.8684307,0.13156933
0,0,0.42926732,0.5707327
1,1,0.6251292,0.37487078
0,1,0.83038306,0.16961694
0,0,0.26145563,0.73854434
0,0,0.37628627,0.62371373
1,1,0.77843726,0.22156274
0,1,0.60841906,0.39158094
0,0,0.3812695,0.6187305
1,1,0.7716805,0.22831953
1,1,0.8410392,0.15896082
1,0,0.35643536,0.64356464
0,0,0.21261626,0.78738374
0,0,0.36172062,0.6382794
1,0,0.41063926,0.5893607
0,1,0.5905937,0.4094063
0,0,0.48624268,0.51375735
0,0,0.46317825,0.5368217
0,1,0.6953828,0.30461723
1,1,0.86846447,0.13153553
0,0,0.4501386,0.54986143
1,1,0.80573785,0.19426215
0,0,0.11769285,0.8823072
1,1,0.7936954,0.20630461
1,0,0.40129647,0.5987035
0,0,0.44912776,0.5508722
1,1,0.8692277,0.1307723
1,1,0.83141726,0.16858274
1,1,0.6833795,0.31662053
0,1,0.5326788,0.46732122
0,1,0.5621789,0.4378211
1,1,0.87221956,0.12778044
0,1,0.93822116,0.061778843
0,1,0.5593065,0.4406935
0,1,0.8733523,0.12664771
0,0,0.17624222,0.82375777
0,0,0.24808814,0.7519119
0,0,0.41616252,0.5838375
0,0,0.33142364,0.66857636
0,0,0.2090063,0.7909937
1,1,0.87305593,0.12694407
1,1,0.8640421,0.1359579
1,0,0.42513797,0.574862
0,1,0.6302456,0.36975437
0,0,0.23470378,0.7652962
0,0,0.27476987,0.7252301
1,1,0.90034163,0.09965837
0,0,0.25186756,0.74813247
0,0,0.3155709,0.6844291
0,0,0.1646587,0.83534133
1,1,0.91458565,0.08541435
1,1,0.8015316,0.19846839
1,1,0.827544,0.17245603
0,1,0.52570313,0.47429687
0,0,0.47524464,0.52475536
1,1,0.7150911,0.2849089
1,1,0.832955,0.167045
0,1,0.8812707,0.11872929
1,1,0.932791,0.067209005
0,0,0.46297926,0.53702074
0,0,0.30211735,0.69788265
0,0,0.20979302,0.79020697
0,1,0.5009668,0.4990332
0,0,0.2025033,0.7974967
0,0,0.2777187,0.72228134
0,1,0.5512513,0.4487487
1,0,0.31276792,0.6872321
0,1,0.8563636,0.1436364
0,0,0.46629724,0.53370273
0,0,0.3274867,0.6725133
0,0,0.46769983,0.5323002
1,1,0.87018865,0.12981135
1,1,0.5511909,0.4488091
1,1,0.87188137,0.12811863
0,0,0.40827745,0.59172255
0,0,0.26865685,0.73134315
0,0,0.17310448,0.82689553
1,1,0.84191394,0.15808606
0,1,0.80757743,0.19242257
1,1,0.6982107,0.30178928
0,0,0.21217662,0.7878234
0,0,0.4534365,0.5465635
1,1,0.70497704,0.29502296
0,0,0.35129488,0.6487051
1,1,0.59006006,0.40993994
0,1,0.9272049,0.07279509
1,1,0.8586971,0.14130288
0,0,0.22641183,0.7735882
1,1,0.81782633,0.18217367
1,0,0.33224952,0.6677505
1,0,0.19975784,0.8002422
0,0,0.18498836,0.8150116
1,1,0.6953689,0.3046311
1,1,0.6238948,0.3761052
0,1,0.5619042,0.4380958
1,1,0.88675344,0.11324656
1,1,0.7014358,0.2985642
1,1,0.90679437,0.09320563
0,0,0.47650924,0.5234908
0,0,0.30172297,0.698277
1,0,0.49389786,0.50610214
0,0,0.20922945,0.79077053
1,1,0.8646583,0.1353417
0,0,0.2224772,0.7775228
0,0,0.2994114,0.7005886
1,1,0.86910784,0.13089216
1,0,0.3931398,0.60686016
0,0,0.4266688,0.57333124
1,1,0.8535456,0.1464544
1,0,0.34071848,0.6592815
0,0,0.19756092,0.8024391
0,0,0.13637288,0.86362714
0,0,0.33165565,0.6683444
1,1,0.7087057,0.29129428
0,0,0.46856433,0.53143567
1,1,0.8836128,0.11638719
0,0,0.37308663,0.62691337
0,0,0.24644583,0.75355417
0,0,0.47672838,0.5232716
0,0,0.37664247,0.62335753
0,0,0.43286157,0.56713843
0,0,0.38738465,0.61261535
1,1,0.6181396,0.38186038
1,0,0.446477,0.553523
1,1,0.8449538,0.15504622
0,1,0.73986155,0.26013845
0,0,0.28415582,0.71584415
1,0,0.27546164,0.7245383
0,0,0.26532745,0.73467255
