y_true,y_pred,prob_positive,prob_negative
0,0,0.2456457,0.7543543
1,0,0.3283096,0.6716904
0,0,0.27729613,0.7227039
1,0,0.2799667,0.7200333
1,1,0.7211776,0.27882242
0,0,0.45077485,0.54922515
0,0,0.104474396,0.8955256
0,0,0.42668664,0.57331336
1,1,0.79473007,0.20526993
1,0,0.4008961,0.5991039
1,1,0.85015064,0.14984936
0,0,0.21250854,0.78749144
0,0,0.21831575,0.7816843
1,0,0.45651028,0.5434897
1,1,0.50058836,0.49941164
1,1,0.76694286,0.23305714
0,0,0.40520754,0.5947925
0,0,0.19352941,0.8064706
1,0,0.34857833,0.65142167
0,0,0.39810288,0.6018971
1,1,0.8857,0.11430001
0,0,0.15397847,0.84602153
0,0,0.2617495,0.7382505
1,0,0.26210487,0.73789513
0,0,0.19826092,0.8017391
1,0,0.33813143,0.6618686
0,0,0.25138828,0.7486117
0,0,0.24123107,0.7587689
0,0,0.2933496,0.7066504
0,1,0.8447506,0.15524942
1,1,0.8423789,0.15762109
0,0,0.48978725,0.5102128
0,0,0.15561971,0.84438026
0,0,0.27606568,0.7239343
0,0,0.40461043,0.5953896
1,0,0.3044205,0.6955795
0,1,0.92135376,0.07864624
0,0,0.18176931,0.8182307
0,0,0.40622503,0.593775
0,0,0.21036728,0.78963274
1,1,0.8549287,0.14507133
0,0,0.44088268,0.5591173
0,0,0.3374605,0.6625395
1,1,0.6887554,0.3112446
1,0,0.2385849,0.7614151
0,1,0.75890326,0.24109674
1,1,0.8887607,0.111239314
0,0,0.28835386,0.71164614
1,1,0.73036414,0.26963586
0,0,0.1955974,0.8044026
0,0,0.30904734,0.69095266
1,1,0.73804206,0.26195794
0,0,0.21563189,0.7843681
1,0,0.46423954,0.53576046
1,1,0.79415977,0.20584023
0,1,0.5054391,0.4945609
0,0,0.2878577,0.7121423
0,0,0.0557197,0.9442803
1,0,0.091252305,0.9087477
1,0,0.38886702,0.611133
0,1,0.6157401,0.38425988
1,0,0.21841264,0.78158736
0,0,0.31438935,0.68561065
0,1,0.52056956,0.47943044
1,1,0.914983,0.085017025
0,1,0.5682748,0.4317252
1,0,0.2056216,0.7943784
1,0,0.33787453,0.66212547
1,0,0.17199576,0.82800424
1,1,0.6457294,0.35427058
1,1,0.5387266,0.46127337
0,0,0.096479334,0.90352064
0,0,0.07337793,0.9266221
0,1,0.88750803,0.112491965
1,0,0.28241345,0.7175865
1,1,0.86160296,0.13839704
0,1,0.5273249,0.47267509
0,0,0.20836322,0.79163677
0,0,0.17127281,0.8287272
1,0,0.29435545,0.70564455
1,1,0.67949456,0.32050544
0,0,0.21280521,0.7871948
0,0,0.37232623,0.62767375
0,0,0.27069783,0.72930217
0,0,0.4178416,0.5821584
0,0,0.33164674,0.66835326
1,0,0.33757034,0.6624297
0,0,0.23061714,0.76938283
0,1,0.535421,0.464579
0,0,0.45476985,0.54523015
0,0,0.30100465,0.69899535
0,0,0.32804486,0.6719551
0,0,0.21147303,0.78852695
0,0,0.21433835,0.78566164
0,0,0.09537232,0.9046277
1,1,0.7105275,0.28947252
0,0,0.09191063,0.9080894
1,1,0.7419069,0.25809312
1,1,0.64056045,0.35943955
1,1,0.90591365,0.09408635
0,0,0.22759774,0.7724023
0,0,0.12948072,0.8705193
0,0,0.31167617,0.68832386
0,0,0.33219925,0.6678008
0,1,0.88027906,0.119720936
0,0,0.40700683,0.59299314
0,0,0.23708543,0.76291454
0,0,0.43652257,0.5634774
0,1,0.5397364,0.4602636
1,0,0.33313024,0.66686976
0,0,0.1565397,0.8434603
1,0,0.121834226,0.8781658
1,0,0.332641,0.667359
0,1,0.78244597,0.21755403
0,0,0.1356871,0.8643129
0,1,0.55378985,0.44621015
