y_true,y_pred,prob_positive,prob_negative
0,0,0.34387416,0.65612584
1,0,0.4541202,0.54587984
0,0,0.40309164,0.59690833
1,0,0.44839653,0.55160344
1,0,0.4886576,0.5113424
0,1,0.6141024,0.38589758
0,0,0.18760623,0.8123938
0,1,0.7664357,0.23356432
1,1,0.6724356,0.32756442
1,0,0.4912341,0.50876594
1,1,0.9021761,0.09782392
0,0,0.23677517,0.76322484
0,0,0.383204,0.616796
1,1,0.67830956,0.32169044
1,1,0.6547479,0.3452521
1,1,0.8372499,0.16275012
0,1,0.6851027,0.3148973
0,0,0.12946899,0.870531
1,0,0.38714337,0.6128566
0,1,0.532774,0.46722603
1,1,0.92411786,0.07588214
0,0,0.3864111,0.6135889
0,0,0.33971852,0.6602815
1,0,0.45038906,0.549611
0,0,0.43208924,0.5679108
1,0,0.3445784,0.6554216
0,0,0.46155378,0.5384462
0,0,0.4334083,0.56659174
0,0,0.350118,0.64988196
0,0,0.47074008,0.5292599
1,1,0.56086797,0.43913203
0,0,0.45774528,0.5422547
0,0,0.24445385,0.75554615
0,0,0.4685289,0.53147113
0,0,0.49834627,0.50165373
1,1,0.67619854,0.32380146
0,1,0.9006002,0.099399805
0,0,0.27089736,0.7291026
0,0,0.28314242,0.71685755
0,0,0.21778795,0.782212
1,1,0.75829434,0.24170566
0,0,0.24699318,0.7530068
0,0,0.32113174,0.6788683
1,1,0.7806592,0.2193408
1,0,0.28397483,0.7160252
0,1,0.6701722,0.3298278
1,1,0.9264411,0.07355893
0,0,0.32078275,0.6792172
1,0,0.40507963,0.5949204
0,1,0.51946455,0.48053545
0,0,0.41895136,0.5810486
1,1,0.7023216,0.2976784
0,0,0.30073586,0.69926417
1,1,0.68567646,0.31432354
1,0,0.27381226,0.7261877
0,0,0.25804406,0.74195594
0,0,0.23874725,0.76125276
0,0,0.21542779,0.78457224
1,0,0.2824017,0.7175983
1,0,0.39814553,0.60185444
0,0,0.45170635,0.54829365
1,0,0.23816471,0.7618353
0,0,0.2931292,0.7068708
0,1,0.56681514,0.43318486
1,1,0.94757986,0.05242014
0,1,0.6831061,0.31689388
1,0,0.1781624,0.8218376
1,0,0.31490898,0.685091
1,1,0.60971236,0.39028764
1,1,0.8762766,0.12372339
1,0,0.36189348,0.6381065
0,0,0.27480623,0.72519374
0,0,0.42452952,0.57547045
0,1,0.53162956,0.46837044
1,0,0.47440273,0.5255973
1,0,0.4724524,0.5275476
0,0,0.43804905,0.5619509
0,0,0.3820969,0.6179031
0,0,0.3969103,0.6030897
1,0,0.42493922,0.5750608
1,1,0.6726309,0.3273691
0,0,0.3038336,0.6961664
0,0,0.31284764,0.6871524
0,0,0.3734246,0.6265754
0,1,0.61343044,0.38656956
0,0,0.40680695,0.59319305
1,1,0.6106463,0.3893537
0,0,0.25271973,0.74728024
0,1,0.6999035,0.3000965
0,1,0.6169418,0.3830582
0,1,0.55718297,0.44281703
0,0,0.47851285,0.5214871
0,0,0.41257575,0.5874243
0,0,0.23312381,0.7668762
0,0,0.16942365,0.83057636
1,1,0.6799299,0.3200701
0,0,0.31715173,0.6828483
1,1,0.81653154,0.18346846
1,1,0.72891545,0.27108455
1,1,0.9342478,0.06575221
0,0,0.3787548,0.6212452
0,0,0.2504183,0.7495817
0,1,0.5312055,0.46879452
0,0,0.3879384,0.6120616
0,1,0.8981138,0.10188621
0,1,0.597242,0.402758
0,0,0.47154585,0.5284542
0,0,0.39038113,0.6096189
0,1,0.6811879,0.31881207
1,1,0.53923583,0.46076417
0,0,0.28775635,0.7122437
1,0,0.29646143,0.70353854
1,0,0.37664887,0.6233511
0,1,0.569718,0.430282
0,0,0.29914013,0.7008599
0,1,0.57027024,0.42972976
0,1,0.7565556,0.24344438
1,0,0.25019395,0.74980605
1,0,0.23159687,0.7684031
1,1,0.5689529,0.43104708
1,1,0.7880252,0.2119748
1,1,0.5426778,0.45732218
0,0,0.44636437,0.5536356
0,0,0.37204155,0.6279584
1,0,0.24713124,0.7528688
1,0,0.32264608,0.6773539
0,0,0.4062983,0.5937017
1,1,0.65277255,0.34722745
0,0,0.22076657,0.77923346
0,1,0.57794243,0.42205757
1,1,0.7301536,0.26984638
0,1,0.5572807,0.44271928
0,0,0.31059074,0.68940926
1,1,0.76947975,0.23052025
0,0,0.3773692,0.62263083
0,1,0.7887299,0.2112701
0,1,0.51129353,0.48870647
0,0,0.47050968,0.52949035
0,0,0.27476323,0.7252368
0,0,0.33507007,0.6649299
1,1,0.8449051,0.15509492
0,0,0.4737865,0.5262135
1,1,0.7723812,0.22761881
1,0,0.23015317,0.7698468
1,1,0.7389808,0.26101917
1,0,0.48446885,0.5155312
0,0,0.15413389,0.8458661
1,1,0.653456,0.34654403
1,1,0.95151097,0.048489034
1,1,0.58839667,0.41160333
1,1,0.96491796,0.035082042
1,1,0.815514,0.18448597
0,0,0.41827437,0.5817256
0,0,0.37191793,0.62808204
1,0,0.33682346,0.66317654
0,1,0.6975507,0.3024493
1,0,0.38643318,0.6135668
1,0,0.46710962,0.5328904
1,1,0.6805086,0.3194914
1,1,0.8804386,0.119561374
1,0,0.44923922,0.55076075
1,1,0.7613154,0.2386846
1,1,0.8983423,0.10165769
0,0,0.3701252,0.6298748
1,0,0.43413004,0.5658699
0,0,0.42665845,0.57334155
0,0,0.47302082,0.5269792
0,0,0.499898,0.50010204
1,1,0.5110486,0.48895139
0,0,0.4429963,0.55700374
0,0,0.40461126,0.59538877
1,1,0.86987627,0.13012373
1,1,0.69822025,0.30177975
1,0,0.32497594,0.67502403
0,1,0.53416926,0.46583074
0,0,0.46137467,0.53862536
1,0,0.48130617,0.5186938
0,1,0.57023704,0.42976296
0,0,0.28651676,0.7134832
0,1,0.95333856,0.046661437
0,0,0.29325873,0.7067413
1,0,0.23634909,0.7636509
0,0,0.43206644,0.56793356
1,0,0.43532425,0.56467575
0,0,0.32467532,0.6753247
1,1,0.5091811,0.49081892
1,1,0.53734934,0.46265066
0,0,0.27443704,0.72556293
1,1,0.9124032,0.087596774
1,0,0.23735712,0.76264286
1,0,0.37609947,0.62390053
0,1,0.5505063,0.4494937
0,0,0.3477854,0.6522146
1,1,0.7268704,0.27312958
0,1,0.64779615,0.35220385
0,0,0.42799467,0.57200533
0,1,0.9348101,0.0651899
0,0,0.31780443,0.68219554
0,0,0.19040652,0.8095935
0,0,0.26356646,0.7364335
0,0,0.44504043,0.55495954
0,0,0.32236937,0.67763066
1,1,0.8730523,0.1269477
1,1,0.7080889,0.29191113
1,0,0.43790027,0.5620997
0,1,0.576172,0.423828
0,1,0.6379973,0.36200267
0,1,0.676763,0.323237
1,1,0.5323161,0.4676839
0,0,0.32954392,0.67045605
0,0,0.20870087,0.7912991
0,0,0.40366036,0.59633964
1,1,0.6338123,0.3661877
1,1,0.5388335,0.4611665
1,1,0.55141103,0.44858897
0,1,0.5812972,0.41870278
0,0,0.47752604,0.52247393
1,1,0.6428981,0.35710192
1,1,0.50627697,0.49372303
0,1,0.5095369,0.49046308
1,0,0.28481233,0.71518767
0,0,0.32578912,0.6742109
0,0,0.40834826,0.59165174
0,0,0.38685355,0.6131464
0,0,0.39397594,0.606024
0,1,0.5520744,0.44792563
0,1,0.6676694,0.33233058
0,0,0.39861602,0.601384
1,1,0.6920716,0.30792838
0,1,0.82114655,0.17885345
0,0,0.45233575,0.5476643
0,0,0.3287658,0.6712342
0,0,0.38236925,0.6176307
1,1,0.9638421,0.036157906
1,0,0.2542724,0.7457276
1,1,0.619182,0.380818
0,0,0.48720777,0.5127922
0,0,0.18680824,0.8131918
0,0,0.1918118,0.8081882
1,1,0.9500885,0.0499115
0,0,0.44478285,0.55521715
1,0,0.41957214,0.5804279
0,0,0.22005594,0.77994406
0,0,0.48908985,0.51091015
1,1,0.8255299,0.17447013
0,0,0.30307892,0.6969211
1,0,0.3711956,0.6288044
0,0,0.33947375,0.6605263
1,1,0.75278556,0.24721444
0,0,0.4149454,0.58505464
1,1,0.5528722,0.44712782
1,1,0.5994067,0.40059328
1,0,0.3038526,0.69614744
0,0,0.21844782,0.7815522
1,0,0.3507013,0.64929867
1,1,0.70087826,0.29912174
0,1,0.5260275,0.4739725
1,0,0.46050945,0.5394906
1,0,0.37339896,0.62660104
1,1,0.62835056,0.37164944
0,1,0.7749649,0.22503507
0,0,0.354381,0.64561903
1,0,0.43509662,0.5649034
0,0,0.3816065,0.61839354
1,1,0.9293804,0.07061958
0,0,0.26671508,0.73328495
0,0,0.31471938,0.6852806
1,0,0.40761185,0.59238815
1,0,0.2810073,0.7189927
0,0,0.38181573,0.61818427
1,1,0.9009537,0.09904629
1,0,0.27058056,0.72941947
0,0,0.40590617,0.5940938
0,0,0.24743697,0.752563
0,0,0.15163393,0.8483661
1,1,0.6857867,0.31421328
0,0,0.34126562,0.6587344
1,1,0.75733215,0.24266785
0,1,0.59191364,0.40808636
0,1,0.5159078,0.48409218
0,0,0.2870433,0.71295667
0,0,0.26696718,0.7330328
0,0,0.3954697,0.60453033
0,1,0.636102,0.36389798
1,1,0.50825626,0.49174374
1,0,0.43269724,0.56730276
1,1,0.9074773,0.09252268
0,0,0.20524874,0.7947513
0,1,0.6840911,0.3159089
1,0,0.33486345,0.6651366
0,1,0.65688694,0.34311306
0,0,0.2503133,0.7496867
1,0,0.38568127,0.6143187
0,1,0.8789416,0.121058404
0,0,0.46094227,0.53905773
0,1,0.75970405,0.24029595
0,0,0.4172403,0.58275974
0,1,0.7444932,0.2555068
0,0,0.29930568,0.7006943
0,0,0.3093708,0.69062924
0,0,0.2377757,0.7622243
1,1,0.8793275,0.120672524
0,0,0.23486362,0.76513636
0,0,0.39271706,0.60728294
1,1,0.9622868,0.03771323
1,0,0.43639618,0.5636038
1,1,0.94965935,0.050340652
1,0,0.49202234,0.50797766
1,1,0.8775579,0.122442126
1,0,0.49228647,0.50771356
0,1,0.780123,0.219877
0,0,0.36686477,0.6331352
0,1,0.53980803,0.46019197
1,1,0.89974934,0.10025066
0,0,0.19834109,0.8016589
0,0,0.268705,0.731295
0,1,0.8438405,0.15615952
0,0,0.40908033,0.5909197
0,0,0.40010935,0.59989065
