y_true,y_pred,prob_positive,prob_negative
0,0,0.3854761,0.6145239
1,1,0.83051646,0.16948354
0,1,0.5782257,0.42177433
1,0,0.18607649,0.8139235
1,1,0.9183726,0.08162743
0,1,0.5802859,0.4197141
0,0,0.40117902,0.598821
0,1,0.8519679,0.14803213
1,1,0.79123455,0.20876545
1,1,0.65760255,0.34239745
1,1,0.906469,0.09353101
0,0,0.13888355,0.86111647
0,1,0.5061918,0.4938082
1,1,0.879326,0.120674014
1,0,0.2237608,0.7762392
1,1,0.87396985,0.12603015
0,0,0.3594155,0.64058447
0,0,0.16669355,0.83330643
1,0,0.32863066,0.6713693
0,0,0.34533435,0.65466565
1,1,0.95048326,0.049516737
0,0,0.31822634,0.68177366
0,0,0.40510163,0.59489834
1,1,0.63249004,0.36750996
0,0,0.39595515,0.60404485
1,0,0.39949283,0.60050714
0,0,0.39026916,0.60973084
0,0,0.13378012,0.8662199
0,0,0.09396322,0.9060368
0,1,0.8616497,0.13835031
1,1,0.8509851,0.14901489
0,0,0.26805672,0.73194325
0,0,0.21218778,0.78781223
0,0,0.3295444,0.6704556
0,0,0.4267087,0.5732913
1,1,0.7097411,0.29025888
0,1,0.895477,0.104523
0,0,0.054325044,0.94567496
0,0,0.23933704,0.760663
0,0,0.36898416,0.63101584
1,1,0.88829666,0.111703336
0,0,0.2040772,0.7959228
0,0,0.11809059,0.88190943
1,1,0.8635058,0.13649422
1,1,0.6239665,0.37603348
0,1,0.8910666,0.10893339
1,1,0.8989,0.10110003
0,0,0.15724663,0.84275335
1,1,0.88279366,0.117206335
0,0,0.35326463,0.64673537
0,0,0.49539992,0.50460005
1,1,0.8814308,0.118569195
0,0,0.14663751,0.8533625
1,1,0.9029518,0.09704822
1,0,0.36864373,0.63135624
0,0,0.31887403,0.681126
0,0,0.21536817,0.78463185
0,0,0.17999335,0.82000667
1,0,0.18886203,0.811138
1,0,0.40689623,0.59310377
0,0,0.30920595,0.69079405
1,0,0.4918208,0.5081792
0,0,0.22747578,0.77252424
0,1,0.51738095,0.48261905
1,1,0.8885313,0.11146867
0,0,0.40382972,0.5961703
1,1,0.69282836,0.30717164
1,0,0.4857598,0.5142402
1,1,0.55290747,0.44709253
1,1,0.81178373,0.18821627
1,1,0.93161136,0.06838864
0,0,0.21607798,0.783922
0,0,0.15478119,0.8452188
0,0,0.4800636,0.51993644
1,0,0.23453905,0.76546097
1,1,0.8832105,0.11678952
0,0,0.385203,0.614797
0,0,0.20191187,0.79808813
