y_true,y_pred,prob_positive,prob_negative
0,0,0.36284432,0.63715565
1,0,0.1478751,0.8521249
0,0,0.37479421,0.62520576
1,0,0.23683707,0.7631629
1,0,0.38597324,0.6140268
0,0,0.26292175,0.73707825
0,0,0.15159859,0.8484014
0,0,0.3900062,0.6099938
1,1,0.8005567,0.19944328
1,1,0.5161511,0.48384893
1,1,0.7328165,0.26718348
0,0,0.48415992,0.51584005
0,0,0.4167602,0.5832398
1,1,0.52518994,0.47481006
1,1,0.77552134,0.22447866
1,1,0.7733415,0.22665852
0,0,0.32096854,0.6790315
0,0,0.1411293,0.8588707
1,0,0.45013472,0.54986525
0,0,0.32869643,0.6713036
1,1,0.726134,0.273866
0,0,0.27528277,0.72471726
0,0,0.22072342,0.7792766
1,1,0.6587445,0.3412555
0,0,0.46444538,0.53555465
1,1,0.67418915,0.32581085
0,0,0.18409477,0.8159052
0,0,0.24373922,0.75626075
0,0,0.24018794,0.75981206
0,0,0.43957165,0.5604284
1,0,0.2832501,0.7167499
0,0,0.3353657,0.6646343
0,0,0.39478448,0.60521555
0,0,0.42549083,0.57450914
0,0,0.40263438,0.5973656
1,0,0.29098982,0.7090102
0,1,0.6572882,0.3427118
0,0,0.42618743,0.5738126
0,0,0.24201126,0.75798875
0,0,0.47175893,0.52824104
1,1,0.6410429,0.3589571
0,0,0.44421324,0.5557867
0,0,0.16736457,0.8326354
1,1,0.54153836,0.45846164
1,0,0.18406859,0.81593144
0,0,0.3330737,0.66692626
1,1,0.70358384,0.29641616
0,0,0.26414943,0.7358506
1,0,0.30610883,0.69389117
0,0,0.46053106,0.53946894
0,0,0.21611911,0.7838809
1,0,0.48743737,0.51256263
0,0,0.36496577,0.6350342
1,0,0.23926216,0.76073784
1,1,0.529605,0.47039503
0,0,0.293551,0.70644903
0,0,0.45117867,0.54882133
0,0,0.08303927,0.9169607
1,0,0.14836493,0.8516351
1,0,0.3798761,0.62012386
0,1,0.57608664,0.42391336
1,0,0.39952198,0.60047805
0,0,0.48662007,0.51337993
0,1,0.62222147,0.37777853
1,1,0.61481404,0.38518596
0,1,0.54121745,0.45878255
1,1,0.5556969,0.4443031
1,1,0.51925045,0.48074955
1,0,0.15175089,0.8482491
1,1,0.8015261,0.19847387
1,1,0.74147975,0.25852025
0,0,0.19070782,0.8092922
0,0,0.45755148,0.5424485
0,1,0.5043565,0.4956435
1,0,0.237122,0.762878
1,0,0.38461804,0.61538196
0,0,0.4713203,0.5286797
0,0,0.24286546,0.75713456
0,0,0.25245035,0.74754965
1,0,0.2897896,0.71021044
1,1,0.6781145,0.32188553
0,0,0.47367394,0.52632606
0,0,0.49415854,0.5058415
0,0,0.43251088,0.56748915
0,1,0.74114513,0.25885487
0,0,0.17884174,0.8211583
1,1,0.8153434,0.18465662
0,0,0.29344496,0.706555
0,1,0.69149125,0.30850875
0,0,0.41813794,0.5818621
0,1,0.5569463,0.44305372
0,0,0.44886076,0.55113924
0,1,0.62370694,0.37629306
0,0,0.43769112,0.5623089
0,0,0.20173532,0.7982647
1,1,0.5618876,0.43811238
0,0,0.2263065,0.7736935
1,0,0.37430796,0.625692
