y_true,y_pred,prob_positive,prob_negative
0,1,0.59836894,0.40163106
1,0,0.42438278,0.5756172
0,1,0.5385944,0.46140558
1,1,0.5188798,0.48112023
1,1,0.632868,0.367132
0,0,0.379503,0.620497
0,0,0.120898314,0.8791017
0,1,0.8308261,0.1691739
1,1,0.7784117,0.22158831
1,1,0.64844215,0.35155785
1,1,0.8174911,0.18250889
0,0,0.38806483,0.61193514
0,0,0.34186292,0.6581371
1,1,0.8873769,0.112623096
1,0,0.34560627,0.65439373
1,1,0.83431983,0.16568017
0,0,0.39767972,0.6023203
0,0,0.28302655,0.7169734
1,1,0.58955306,0.41044694
0,0,0.26906985,0.73093015
1,1,0.76906455,0.23093545
0,0,0.35255674,0.6474433
0,0,0.26763773,0.7323623
1,0,0.36852643,0.63147354
0,0,0.36506695,0.63493305
1,0,0.3067044,0.6932956
0,0,0.1397381,0.8602619
0,0,0.36652482,0.6334752
0,0,0.13046044,0.86953956
0,1,0.6232381,0.3767619
1,1,0.8423838,0.1576162
0,0,0.19754441,0.8024556
0,0,0.35380456,0.6461954
0,0,0.47582632,0.5241737
0,0,0.3056381,0.6943619
1,1,0.6554247,0.3445753
0,1,0.8090852,0.19091481
0,0,0.33604172,0.6639583
0,1,0.5296159,0.47038412
0,0,0.44480902,0.555191
1,1,0.607376,0.39262402
0,0,0.38091305,0.619087
0,0,0.2514528,0.7485472
1,1,0.8431061,0.15689391
1,0,0.17216858,0.8278314
0,1,0.69833225,0.30166775
1,1,0.9247237,0.075276315
0,0,0.26295394,0.73704606
1,1,0.56546664,0.43453336
0,0,0.24769655,0.7523035
0,0,0.4515309,0.54846907
1,1,0.55921066,0.44078934
0,0,0.2817025,0.7182975
1,0,0.31363937,0.6863606
1,0,0.28585273,0.71414727
0,0,0.46742472,0.53257525
0,1,0.50343055,0.49656945
0,0,0.24651316,0.7534869
1,0,0.12310559,0.8768944
1,0,0.45678043,0.54321957
0,1,0.57064027,0.42935973
1,0,0.49168304,0.508317
0,1,0.60731876,0.39268124
0,0,0.29303357,0.7069664
1,1,0.7031096,0.29689038
0,1,0.55192935,0.44807065
1,0,0.3573501,0.6426499
1,0,0.49946508,0.5005349
1,0,0.36651573,0.63348424
1,1,0.6653745,0.33462548
1,0,0.28302008,0.7169799
0,0,0.18375961,0.8162404
0,0,0.34193796,0.65806204
0,0,0.34642208,0.6535779
1,0,0.3696266,0.63037336
1,1,0.7642205,0.23577952
0,0,0.2692775,0.7307225
0,0,0.21383001,0.78617
0,0,0.25889358,0.7411064
1,0,0.26146555,0.73853445
1,1,0.75741833,0.24258167
0,0,0.41359302,0.58640695
0,0,0.36689013,0.63310987
0,0,0.3039768,0.6960232
0,0,0.22995849,0.7700415
0,0,0.23317473,0.76682526
1,0,0.47138742,0.5286126
0,0,0.23946942,0.7605306
0,0,0.30157387,0.6984261
0,1,0.6538753,0.3461247
0,0,0.2406912,0.7593088
0,0,0.38261858,0.61738145
0,0,0.41223526,0.58776474
0,0,0.1411976,0.8588024
0,0,0.41523042,0.5847696
1,1,0.8141703,0.1858297
0,0,0.13603477,0.8639652
1,1,0.84672683,0.15327317
1,1,0.63067895,0.36932105
1,1,0.9352408,0.064759195
0,0,0.27278492,0.72721505
0,0,0.17388847,0.82611156
0,0,0.36281016,0.63718987
0,0,0.33658838,0.6634116
0,1,0.8313743,0.16862571
0,1,0.6455497,0.3544503
0,0,0.45291144,0.54708856
0,0,0.29671806,0.70328194
0,0,0.47149548,0.5285045
1,0,0.39711386,0.60288614
0,0,0.16713715,0.83286285
1,0,0.27178657,0.7282134
1,0,0.25957772,0.74042225
0,1,0.6857043,0.3142957
0,0,0.41019824,0.5898018
0,1,0.70173234,0.29826766
0,1,0.9460924,0.053907573
1,0,0.33781573,0.66218424
1,1,0.56094384,0.43905616
1,0,0.38083097,0.619169
1,1,0.8556052,0.14439481
1,1,0.6039578,0.39604223
0,0,0.47099635,0.5290036
0,0,0.24441175,0.75558823
1,0,0.1273499,0.8726501
1,0,0.31997055,0.68002945
0,0,0.3425272,0.6574728
1,1,0.51027894,0.48972106
0,0,0.39072734,0.60927266
0,0,0.4028472,0.5971528
1,1,0.8586185,0.1413815
0,1,0.7040186,0.2959814
0,0,0.48541,0.51459
1,1,0.78475547,0.21524453
0,0,0.20783077,0.7921692
0,1,0.63672686,0.36327314
0,1,0.5310616,0.4689384
0,0,0.21461222,0.78538775
0,0,0.15052396,0.84947604
0,0,0.28898504,0.711015
1,1,0.84884524,0.15115476
0,0,0.139184,0.860816
1,1,0.62339866,0.37660134
1,0,0.4300021,0.5699979
1,1,0.59262043,0.40737957
1,0,0.25257653,0.74742347
0,0,0.13294251,0.8670575
1,1,0.5424493,0.4575507
1,1,0.9663597,0.033640325
1,1,0.6533915,0.34660852
1,1,0.8310935,0.16890651
1,0,0.2849685,0.7150315
0,0,0.48887876,0.5111213
0,0,0.20954497,0.79045504
1,0,0.31284127,0.6871587
0,0,0.35314304,0.64685696
1,1,0.7411528,0.25884718
1,1,0.55854654,0.44145346
1,1,0.7331164,0.2668836
1,1,0.9291633,0.07083672
1,1,0.5966977,0.4033023
1,1,0.8384091,0.16159087
1,1,0.81805485,0.18194515
0,0,0.29290387,0.7070961
1,1,0.51742196,0.48257804
0,1,0.7811179,0.21888208
0,0,0.22688636,0.7731136
0,0,0.3076925,0.6923075
1,1,0.61331636,0.38668364
0,1,0.55655974,0.44344026
0,0,0.4324327,0.5675673
1,1,0.9369844,0.06301558
1,1,0.93013424,0.06986576
1,0,0.26819897,0.73180103
0,0,0.3203979,0.6796021
0,0,0.22492903,0.77507097
1,1,0.6896963,0.3103037
0,0,0.28699508,0.71300495
0,1,0.5533445,0.4466555
0,1,0.5493058,0.4506942
0,0,0.23024479,0.76975524
1,0,0.25781417,0.74218583
0,0,0.33996114,0.6600388
1,0,0.41999573,0.5800043
0,0,0.26239333,0.73760664
1,0,0.37880558,0.6211944
1,1,0.6405089,0.3594911
0,0,0.18349308,0.8165069
1,1,0.94739556,0.052604437
1,0,0.3013366,0.6986634
1,0,0.46774814,0.53225183
0,0,0.48991874,0.5100813
0,0,0.36137724,0.63862276
1,1,0.77460897,0.22539103
0,1,0.637903,0.36209702
0,0,0.36908752,0.6309125
0,1,0.9711358,0.028864205
0,0,0.25898647,0.7410135
0,0,0.25000226,0.74999774
0,0,0.23651569,0.7634843
0,1,0.6214987,0.3785013
0,0,0.34193215,0.6580678
1,1,0.89683765,0.10316235
1,1,0.7597109,0.24028909
1,0,0.44769943,0.5523006
0,1,0.6532268,0.3467732
0,1,0.5148066,0.48519337
0,0,0.41919553,0.58080447
1,0,0.28247237,0.7175276
0,0,0.39824414,0.60175586
0,0,0.42837757,0.57162243
0,1,0.56362987,0.43637013
1,1,0.5944467,0.40555328
1,1,0.8801385,0.11986148
1,1,0.6734278,0.32657218
0,1,0.52961123,0.47038877
0,0,0.32180747,0.6781925
1,0,0.30451566,0.69548434
1,0,0.45663372,0.5433663
0,0,0.42125267,0.57874733
1,0,0.21425404,0.785746
0,1,0.7336602,0.26633978
0,0,0.38797086,0.61202914
