Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_grow_policy
0.8006,0.711,0.8604,0.7406,0.5804,0.8207,187,339,55,76,AAC,20,0.8298,98,1533,657,420,2,0.06281957548911626,0.6104365333719859,0.36134007646444033,0.5947312234447354,4,4.4101410774700325,3.742051663517299e-07,0.20791232580230914,1.2809359565221985,lossguide
0.7382,0.7871,0.7056,0.7065,0.4828,0.8156,207,278,116,56,DPC,400,0.8189,75,1533,657,127,10,0.10568255684004017,0.9419354782894778,0.31950804070230937,0.9567757679522461,1,2.018663059175303,2.129002546072274e-07,1.1353152949169174,2.725589158997038,depthwise
0.6788,0.8783,0.5457,0.6865,0.4289,0.8317,231,215,179,32,CTDC,21,0.8168,31,1533,657,279,6,0.007388435655833382,0.7299633083032769,0.3672828544339759,0.692840184765749,11,2.9092764226797247,0.7445165306610233,1.882532299491746,2.6005242164750695,lossguide
0.7717,0.7719,0.7716,0.7302,0.5357,0.8243,203,304,90,60,CTDT,21,0.81,42,1533,657,322,7,0.024086704418576493,0.5943114368686202,0.639993102645808,0.8108676106280297,13,4.600643577779705,2.6661695588008323e-05,0.13059514246591392,2.031068259077144,lossguide
0.7869,0.6806,0.8579,0.7189,0.5504,0.813,179,338,56,84,GAAC,5,0.8131,99,1533,657,317,5,0.1112230669128751,0.6285369340224434,0.6502919919321856,0.9981266213510853,17,0.968260755881744,0.02455616708801482,2.237639330114829,1.2865913491313465,lossguide
0.7412,0.7262,0.7513,0.692,0.4713,0.7985,191,296,98,72,PAAC,23,0.8027,81,1533,657,393,7,0.012954103612422307,0.7712222801731368,0.3184051955639074,0.8888176873145569,2,0.2813597350533752,0.3151624272812956,0.12982624610443402,2.6117850952924773,lossguide
0.653,0.5209,0.7411,0.5458,0.2669,0.6726,137,292,102,126,ProtBERT,1024,0.6672,48,1533,657,415,8,0.027385774416665287,0.686958926484556,0.46553748409782125,0.8045185190374046,10,1.8389842877041547,1.71731117168281e-05,4.638269828433087,1.6608144244888543,depthwise
0.6758,0.5741,0.7437,0.5864,0.3202,0.7153,151,293,101,112,ProtT5,1024,0.7439,60,1533,657,333,10,0.011269883697804347,0.8140391596128166,0.8112440182874354,0.6959156977432522,4,0.4239072971927703,0.03396609624495765,0.7245982211792448,2.660266624603765,depthwise
0.6895,0.5932,0.7538,0.6047,0.3493,0.7152,156,297,97,107,ESM2,1280,0.729,78,1533,657,429,4,0.028486139898219007,0.6109328917379722,0.770951527836502,0.695650842751952,12,0.38129345981774543,0.06014819927168162,2.297110245662307,1.8646470892078149,depthwise
0.6484,0.6502,0.6472,0.5969,0.2919,0.7146,171,255,139,92,BioBERT,768,0.7577,84,1533,657,381,9,0.013267096159100464,0.7966716856542133,0.5960766937211259,0.7924927892178751,14,1.160287645654893,0.26022949586487126,1.3434808623704724,2.409214984650331,depthwise
0.6728,0.6046,0.7183,0.5966,0.3215,0.7117,159,283,111,104,ESMC,1152,0.7252,85,1533,657,424,2,0.029732044105605284,0.5905664454281019,0.9112935365560114,0.8677880457385617,4,4.928108092564651,1.8578539477573265e-08,0.2754398276164141,1.6995904587449737,lossguide
