y_true,y_pred,prob_positive,prob_negative
0,0,0.19672912,0.8032709
1,1,0.8230266,0.1769734
0,0,0.32021648,0.6797835
1,0,0.18269734,0.81730264
1,1,0.9310224,0.068977594
0,1,0.53292024,0.46707976
0,0,0.17285004,0.82715
0,1,0.68255746,0.31744254
1,1,0.8814564,0.118543625
1,1,0.770031,0.22996902
1,1,0.81251043,0.18748957
0,0,0.0843705,0.9156295
0,0,0.20064397,0.79935604
1,1,0.9576417,0.04235828
1,0,0.36131638,0.6386836
1,1,0.78593546,0.21406454
0,0,0.18705894,0.8129411
0,0,0.15566126,0.8443388
1,0,0.19638819,0.8036118
0,0,0.35258365,0.64741635
1,1,0.95547324,0.044526756
0,0,0.1661568,0.83384323
0,1,0.59461623,0.40538377
1,1,0.84405154,0.15594846
0,0,0.12013076,0.8798692
1,0,0.1955511,0.8044489
0,0,0.20773862,0.79226136
0,0,0.1442816,0.8557184
0,0,0.15038879,0.8496112
0,1,0.8054865,0.1945135
1,1,0.84566146,0.15433854
0,0,0.15494958,0.84505045
0,0,0.08270686,0.91729313
0,0,0.14844137,0.8515586
0,0,0.42097116,0.57902884
1,1,0.7308809,0.26911908
0,1,0.7840762,0.21592379
0,0,0.07910208,0.9208979
0,0,0.17066686,0.8293331
0,0,0.22900495,0.770995
1,1,0.9028195,0.097180486
0,0,0.07798397,0.922016
0,0,0.11266729,0.8873327
1,1,0.8027397,0.19726032
1,1,0.722125,0.277875
0,1,0.56695807,0.43304193
1,1,0.93088007,0.06911993
0,0,0.24667744,0.75332254
1,1,0.9071828,0.09281719
0,0,0.20207432,0.7979257
0,0,0.32892823,0.67107177
1,1,0.8106523,0.18934768
0,0,0.11775436,0.88224566
1,1,0.9523387,0.047661304
1,1,0.5838404,0.41615957
0,0,0.18420479,0.8157952
0,0,0.18231305,0.8176869
0,0,0.09613072,0.9038693
1,0,0.07728553,0.9227145
1,0,0.35442173,0.64557827
0,0,0.31046516,0.68953484
1,0,0.35826772,0.6417323
0,0,0.2978712,0.70212877
0,0,0.45073095,0.5492691
1,1,0.9423995,0.0576005
0,0,0.46613002,0.53387
1,1,0.63471806,0.36528194
1,0,0.31676868,0.68323135
1,0,0.4397301,0.5602699
1,1,0.8529518,0.14704818
1,1,0.97727644,0.022723556
0,0,0.15286379,0.8471362
0,0,0.2183423,0.7816577
0,0,0.41556913,0.5844309
1,0,0.13822183,0.86177814
1,1,0.90681154,0.093188465
0,0,0.23548192,0.7645181
0,0,0.2735898,0.7264102
0,0,0.22027014,0.77972984
1,1,0.9078926,0.092107415
1,1,0.91164625,0.08835375
0,0,0.110166825,0.88983315
0,0,0.19348773,0.80651224
0,0,0.32756016,0.6724398
0,0,0.121444866,0.8785551
0,0,0.12467899,0.87532103
1,1,0.5764,0.42360002
0,0,0.14092644,0.8590736
0,0,0.2513582,0.7486418
0,0,0.083802916,0.91619706
0,0,0.22208317,0.77791685
0,0,0.4273742,0.57262576
0,0,0.1438699,0.8561301
0,0,0.4921246,0.50787544
0,0,0.10688471,0.8931153
1,1,0.85468096,0.14531904
0,0,0.11167255,0.8883275
1,1,0.82998955,0.17001045
1,1,0.7133609,0.2866391
1,1,0.94074595,0.05925405
0,0,0.2129875,0.7870125
0,0,0.3161361,0.6838639
0,0,0.16638996,0.83361006
0,0,0.23582345,0.76417655
0,1,0.7293651,0.2706349
0,0,0.20954777,0.79045224
0,0,0.15918398,0.840816
0,0,0.09705642,0.9029436
0,0,0.3325013,0.6674987
1,0,0.3445519,0.6554481
0,0,0.212574,0.787426
1,0,0.18155226,0.8184477
1,0,0.15395409,0.8460459
0,0,0.23979825,0.76020175
0,0,0.26903406,0.730966
0,1,0.8177678,0.1822322
0,1,0.87823415,0.12176585
1,0,0.19585645,0.80414355
1,0,0.11076981,0.8892302
1,1,0.8684582,0.13154179
1,1,0.7646851,0.2353149
1,1,0.8075902,0.19240981
0,0,0.4456213,0.5543787
0,0,0.23008995,0.76991004
1,1,0.78180635,0.21819365
1,1,0.7575463,0.2424537
0,0,0.19659515,0.80340487
1,0,0.38777202,0.612228
0,0,0.19765675,0.80234325
0,1,0.73751336,0.26248664
