y_true,y_pred,prob_positive,prob_negative
0,0,0.25136554,0.74863446
1,0,0.23967251,0.76032746
0,0,0.21288262,0.78711736
1,0,0.07896694,0.9210331
1,1,0.9116548,0.08834523
0,1,0.68070126,0.31929874
0,0,0.0898797,0.9101203
0,0,0.45704752,0.5429525
1,1,0.9827601,0.017239928
1,1,0.8416574,0.1583426
1,1,0.9455462,0.05445379
0,1,0.5427161,0.4572839
0,0,0.27199212,0.7280079
1,1,0.8588287,0.14117128
1,0,0.4937294,0.5062706
1,1,0.91870904,0.08129096
0,0,0.15215683,0.84784317
0,0,0.19896986,0.80103016
1,0,0.07403431,0.92596567
0,0,0.42554045,0.57445955
1,1,0.956972,0.043027997
0,0,0.22127631,0.7787237
0,0,0.41093045,0.58906955
1,0,0.37813953,0.6218605
0,0,0.041971065,0.9580289
1,0,0.36156237,0.6384376
0,0,0.12557885,0.8744211
0,0,0.043749884,0.95625013
0,0,0.42269275,0.5773072
0,1,0.7325864,0.26741362
1,1,0.7830286,0.2169714
0,0,0.3793487,0.6206513
0,0,0.22267625,0.7773237
0,0,0.20660836,0.79339164
0,0,0.3699599,0.6300401
1,0,0.37659523,0.62340474
0,1,0.95590526,0.04409474
0,0,0.13166648,0.8683335
0,0,0.06933481,0.9306652
0,0,0.2818647,0.7181353
1,1,0.92092025,0.07907975
0,0,0.1343989,0.86560106
0,1,0.61751467,0.38248533
1,0,0.47426432,0.5257357
1,0,0.37210557,0.6278944
0,1,0.7829385,0.21706152
1,1,0.86019033,0.13980967
0,0,0.18217531,0.8178247
1,1,0.6101273,0.38987273
0,0,0.16473064,0.83526933
0,0,0.4515081,0.5484919
1,1,0.7240191,0.2759809
0,0,0.05010401,0.949896
1,0,0.13935858,0.8606414
1,0,0.22215329,0.7778467
0,0,0.13257165,0.86742836
0,0,0.16930512,0.8306949
0,0,0.15880927,0.8411907
1,0,0.13837859,0.8616214
1,0,0.2487622,0.7512378
0,0,0.2287071,0.7712929
1,0,0.15258063,0.8474194
0,0,0.21627669,0.7837233
0,0,0.34962475,0.65037525
1,1,0.6687609,0.3312391
0,0,0.3363027,0.6636973
1,1,0.6977842,0.3022158
1,0,0.24155356,0.75844646
1,0,0.051442903,0.9485571
1,1,0.5902713,0.4097287
1,1,0.8060087,0.1939913
0,0,0.08512626,0.9148737
0,0,0.22086225,0.77913773
0,0,0.3572226,0.64277744
1,0,0.25792423,0.7420758
1,1,0.8059658,0.19403422
0,0,0.30686417,0.69313586
0,0,0.39128342,0.6087166
0,0,0.17122331,0.8287767
1,0,0.13402717,0.8659728
1,1,0.92079985,0.07920015
0,0,0.20141418,0.79858583
0,0,0.41291875,0.58708125
0,0,0.121454984,0.87854505
0,0,0.46458524,0.53541476
0,0,0.19979434,0.80020565
1,1,0.5772604,0.42273962
0,0,0.21237195,0.78762805
0,1,0.58521724,0.41478276
0,0,0.12238342,0.8776166
0,0,0.19091225,0.80908775
0,0,0.26525685,0.7347431
0,0,0.30299917,0.69700086
0,0,0.47655332,0.5234467
0,0,0.10421665,0.89578336
1,1,0.8802863,0.11971372
0,0,0.084824145,0.91517586
