y_true,y_pred,prob_positive,prob_negative
0,0,0.38078007,0.6192199
1,1,0.58551365,0.41448635
0,1,0.5449166,0.45508337
1,0,0.19410725,0.80589277
1,1,0.9583465,0.041653514
0,0,0.30723667,0.6927633
0,0,0.14946988,0.85053015
0,1,0.8882576,0.11174238
1,1,0.9574466,0.042553425
1,1,0.9230265,0.0769735
1,1,0.703171,0.296829
0,0,0.17731526,0.82268476
0,0,0.08667449,0.9133255
1,1,0.79413795,0.20586205
1,0,0.36617765,0.6338223
1,1,0.7526816,0.24731839
0,0,0.3224398,0.6775602
0,0,0.14613569,0.8538643
1,0,0.33312625,0.66687375
0,0,0.21676704,0.7832329
1,1,0.8184166,0.1815834
0,0,0.2844354,0.7155646
0,0,0.27673593,0.7232641
1,1,0.9146101,0.08538991
0,0,0.06777482,0.93222517
1,0,0.17788137,0.82211864
0,0,0.42145544,0.57854456
0,0,0.26049,0.73951
0,0,0.2347497,0.7652503
0,1,0.93202066,0.067979336
1,1,0.73706234,0.26293766
0,0,0.22894047,0.7710595
0,0,0.30250213,0.69749784
0,1,0.6029936,0.3970064
0,0,0.27562284,0.72437716
1,1,0.8786922,0.12130779
0,1,0.8402809,0.15971911
0,0,0.109526664,0.89047337
0,0,0.14011103,0.859889
0,0,0.09382784,0.90617216
1,1,0.78095436,0.21904564
0,0,0.15488197,0.84511805
0,1,0.506098,0.49390203
1,0,0.37562165,0.6243783
1,1,0.6488058,0.3511942
0,1,0.8585359,0.14146411
1,1,0.8849694,0.11503059
0,0,0.14748561,0.8525144
1,1,0.7373247,0.2626753
0,0,0.114843406,0.8851566
0,0,0.32114,0.67886
1,1,0.922868,0.07713199
0,0,0.2395572,0.7604428
1,1,0.7659001,0.23409992
1,1,0.8361872,0.16381282
0,0,0.30852467,0.69147533
0,0,0.13547088,0.86452913
0,0,0.06596415,0.93403584
1,0,0.25695494,0.7430451
1,0,0.41459435,0.58540565
0,0,0.34328115,0.65671885
1,0,0.16512738,0.8348726
0,0,0.21498942,0.7850106
0,0,0.10407473,0.8959253
1,1,0.814604,0.18539602
0,1,0.6043737,0.3956263
1,1,0.91790026,0.082099736
1,0,0.08011188,0.91988814
1,1,0.81687933,0.18312067
1,1,0.7589972,0.2410028
1,1,0.9098076,0.09019238
0,0,0.2370065,0.7629935
0,0,0.0666193,0.9333807
0,0,0.44450206,0.55549794
1,0,0.12580846,0.8741915
1,1,0.7250526,0.2749474
0,0,0.29409528,0.7059047
0,0,0.2812435,0.7187565
0,0,0.124897055,0.87510294
1,1,0.87444806,0.12555194
1,1,0.8903916,0.10960841
0,0,0.33661518,0.6633848
0,0,0.20651604,0.793484
0,0,0.2774938,0.72250617
0,0,0.12628601,0.87371397
0,0,0.11208282,0.88791716
1,0,0.32242158,0.67757845
0,0,0.12095371,0.8790463
0,0,0.3698211,0.6301789
0,0,0.09168416,0.90831584
0,0,0.11759994,0.88240004
0,0,0.19388857,0.80611145
0,0,0.3673652,0.63263476
0,0,0.09698833,0.9030117
0,0,0.37072694,0.62927306
1,1,0.7156439,0.28435612
0,0,0.2552651,0.7447349
1,1,0.5174175,0.4825825
1,1,0.8926222,0.10737783
1,1,0.96534806,0.034651935
0,0,0.17830853,0.82169145
0,0,0.09798325,0.90201676
0,0,0.1322486,0.8677514
0,0,0.16612379,0.8338762
0,1,0.92154294,0.07845706
0,0,0.4853525,0.5146475
0,0,0.18232566,0.81767434
0,0,0.19628169,0.8037183
0,0,0.25395748,0.7460425
1,0,0.12935427,0.87064576
0,0,0.21819215,0.78180784
1,0,0.35603726,0.64396274
1,1,0.5555603,0.4444397
0,1,0.5490645,0.45093548
0,0,0.16606033,0.8339397
0,1,0.63837224,0.36162776
0,1,0.67040986,0.32959014
1,0,0.26032797,0.73967206
1,0,0.47322133,0.5267787
1,1,0.8038577,0.19614232
1,1,0.8603007,0.13969928
1,1,0.9069698,0.093030214
0,0,0.25093436,0.74906564
0,0,0.08698067,0.9130193
1,1,0.82541156,0.17458844
1,1,0.52532804,0.47467196
0,0,0.1157801,0.8842199
1,0,0.09741115,0.90258884
0,0,0.09791387,0.90208614
0,1,0.8703898,0.12961018
1,1,0.87411016,0.12588984
0,0,0.42361933,0.57638067
0,1,0.86438835,0.13561165
1,1,0.7901858,0.20981419
0,0,0.28426242,0.7157376
0,1,0.75614446,0.24385554
0,0,0.41304082,0.5869592
0,0,0.1145237,0.8854763
0,0,0.13439132,0.8656087
0,0,0.34381503,0.656185
1,1,0.82420707,0.17579293
0,0,0.15692022,0.8430798
1,1,0.80472463,0.19527537
1,1,0.70404387,0.29595613
1,0,0.075386345,0.92461365
1,0,0.21457687,0.78542316
0,0,0.14915745,0.85084254
1,1,0.6611947,0.33880532
1,1,0.8872108,0.11278921
1,1,0.80680436,0.19319564
1,1,0.8405858,0.15941417
1,1,0.73377556,0.26622444
0,0,0.23612168,0.76387835
0,0,0.42325604,0.57674396
1,1,0.90387833,0.09612167
0,1,0.5228364,0.4771636
1,1,0.8936114,0.10638863
1,1,0.5647516,0.43524837
1,1,0.7559406,0.24405938
1,1,0.94340825,0.05659175
1,0,0.25398985,0.7460102
1,1,0.9162872,0.083712816
1,1,0.9259617,0.07403833
0,0,0.11014919,0.8898508
1,1,0.71394724,0.28605276
0,1,0.9056824,0.094317615
0,0,0.115022786,0.8849772
0,0,0.2537368,0.7462632
1,1,0.69083405,0.30916595
0,0,0.27312964,0.72687036
0,0,0.29486823,0.70513177
1,1,0.7266865,0.27331352
1,1,0.84868103,0.15131897
1,0,0.1331537,0.8668463
0,0,0.105123036,0.89487696
0,0,0.24228857,0.7577114
1,0,0.2524354,0.7475646
0,0,0.4532177,0.5467823
0,0,0.4728674,0.52713263
0,0,0.38354665,0.61645335
0,1,0.6934749,0.3065251
1,1,0.8117457,0.1882543
0,0,0.38701767,0.61298233
1,1,0.8963248,0.10367519
0,0,0.06914111,0.9308589
1,1,0.8090396,0.1909604
1,0,0.309587,0.690413
0,0,0.30806836,0.6919316
1,1,0.863712,0.13628799
1,1,0.6886343,0.31136572
1,1,0.60742533,0.39257467
0,0,0.3983423,0.6016577
0,0,0.2988573,0.70114267
1,1,0.9344286,0.06557143
0,1,0.8732166,0.12678337
0,0,0.49625164,0.50374836
0,1,0.949864,0.05013603
0,0,0.09855505,0.901445
0,0,0.16695407,0.83304596
0,0,0.27656245,0.72343755
0,0,0.14705963,0.8529404
0,0,0.09321586,0.9067841
1,1,0.86522365,0.13477635
1,1,0.9226565,0.07734352
1,0,0.3371919,0.66280806
0,1,0.56695074,0.43304926
0,0,0.14302357,0.85697645
0,0,0.17696588,0.8230341
1,1,0.911836,0.08816397
0,0,0.26276162,0.7372384
0,0,0.30597517,0.6940248
0,0,0.07507982,0.9249202
1,1,0.9660701,0.033929884
1,1,0.7801575,0.2198425
1,1,0.77438474,0.22561526
0,0,0.44813028,0.55186975
0,0,0.43226147,0.56773853
1,1,0.6805257,0.31947428
1,1,0.80792606,0.19207394
0,1,0.89758533,0.10241467
1,1,0.96075267,0.039247334
0,0,0.15525584,0.84474415
0,0,0.15280509,0.8471949
0,0,0.13533375,0.8646662
0,0,0.35156992,0.6484301
0,0,0.104140595,0.8958594
0,0,0.18337491,0.8166251
0,0,0.21862856,0.7813715
1,0,0.24809746,0.7519025
0,1,0.84336615,0.15663385
0,0,0.27721864,0.72278136
0,0,0.13351126,0.86648875
0,0,0.31791124,0.68208873
1,1,0.85985994,0.14014006
1,1,0.620242,0.379758
1,1,0.79543537,0.20456463
0,0,0.3564402,0.6435598
0,0,0.30596742,0.69403255
0,0,0.08437596,0.915624
1,1,0.8937342,0.10626578
0,1,0.8249942,0.1750058
1,1,0.5547393,0.4452607
0,0,0.19690926,0.80309075
0,0,0.10590114,0.8940989
1,1,0.7597459,0.2402541
0,0,0.23135366,0.76864636
1,1,0.67160255,0.32839745
0,1,0.9524795,0.04752052
1,1,0.8386686,0.16133142
0,0,0.11906074,0.88093925
1,1,0.84939784,0.15060216
1,0,0.18523388,0.8147661
1,0,0.05524169,0.9447583
0,0,0.11510094,0.8848991
1,1,0.7519943,0.24800569
1,1,0.5209625,0.47903752
0,0,0.22530873,0.7746913
1,1,0.88351095,0.11648905
1,1,0.7256053,0.2743947
1,1,0.962951,0.037048995
0,1,0.52649164,0.47350836
0,0,0.23686409,0.7631359
1,0,0.35849935,0.64150065
0,0,0.10532616,0.8946738
1,1,0.89583063,0.10416937
0,0,0.23996,0.76004
0,0,0.14219134,0.85780865
1,1,0.8187138,0.18128622
1,0,0.2806031,0.7193969
0,0,0.122261554,0.8777385
1,1,0.9443922,0.055607796
1,0,0.18970358,0.8102964
0,0,0.13543433,0.8645657
0,0,0.05935627,0.9406437
0,0,0.25411567,0.7458843
1,1,0.83494127,0.16505873
0,0,0.34615287,0.6538471
1,1,0.8761717,0.12382829
0,0,0.31558472,0.6844153
0,0,0.11947206,0.880528
0,0,0.41122583,0.5887742
0,0,0.1810401,0.8189599
0,0,0.29512265,0.7048774
0,0,0.14303395,0.856966
1,1,0.69235665,0.30764335
1,0,0.37434688,0.62565315
1,1,0.8586775,0.1413225
0,1,0.65616727,0.34383273
0,0,0.19680622,0.8031938
1,0,0.19973253,0.80026746
0,0,0.11221001,0.88778996
0,0,0.23528752,0.76471245
1,0,0.31158274,0.68841726
0,1,0.92559224,0.07440776
0,0,0.08380131,0.9161987
0,0,0.33884257,0.6611574
0,0,0.20450631,0.7954937
0,0,0.4352029,0.5647971
0,0,0.065173924,0.9348261
0,0,0.17247826,0.82752174
0,0,0.15077206,0.8492279
1,1,0.9123963,0.08760369
0,0,0.32923898,0.670761
0,0,0.2900823,0.70991766
1,1,0.5439265,0.45607352
1,1,0.5586819,0.4413181
1,1,0.93150604,0.06849396
1,1,0.5531749,0.4468251
1,1,0.93304205,0.06695795
1,1,0.8301593,0.1698407
0,1,0.8130656,0.18693441
0,0,0.36697212,0.6330279
0,0,0.3294081,0.6705919
1,1,0.75076807,0.24923193
0,0,0.1096319,0.8903681
0,0,0.13349149,0.8665085
0,1,0.8139057,0.18609428
0,0,0.3502497,0.6497503
0,0,0.20709936,0.7929006
0,0,0.14383845,0.85616153
0,1,0.93496376,0.06503624
0,0,0.118476495,0.8815235
0,0,0.39199468,0.6080053
1,1,0.91019547,0.08980453
0,0,0.2537628,0.74623716
1,1,0.8475686,0.15243143
1,0,0.15293643,0.84706354
0,1,0.72408926,0.27591074
1,1,0.79171723,0.20828277
1,0,0.272381,0.727619
0,0,0.29843807,0.7015619
0,0,0.24709871,0.7529013
0,0,0.44938418,0.5506158
1,1,0.8257437,0.17425632
0,1,0.5471241,0.4528759
1,0,0.3927728,0.6072272
0,0,0.3376905,0.6623095
1,1,0.7867803,0.2132197
1,1,0.8704877,0.12951231
0,1,0.5453738,0.4546262
0,0,0.23643272,0.76356727
0,1,0.85798687,0.14201313
0,1,0.79665864,0.20334136
0,0,0.2485516,0.7514484
1,1,0.84848326,0.15151674
1,1,0.92164034,0.07835966
0,0,0.22346228,0.7765377
0,0,0.11804109,0.8819589
0,0,0.22891238,0.77108765
0,0,0.2504662,0.7495338
0,0,0.33747143,0.6625286
0,0,0.11610759,0.8838924
0,0,0.1574923,0.8425077
0,1,0.72249305,0.27750695
0,0,0.048641197,0.9513588
1,1,0.5602434,0.43975657
0,0,0.14896591,0.8510341
0,0,0.09433928,0.90566075
0,0,0.3963156,0.6036844
0,0,0.101638764,0.8983612
1,0,0.23936918,0.76063085
1,0,0.11129495,0.8887051
0,0,0.3567223,0.6432777
1,1,0.8329992,0.16700077
1,1,0.8443383,0.1556617
0,0,0.24946375,0.75053626
1,1,0.8369605,0.1630395
1,1,0.91105855,0.088941455
0,0,0.18753402,0.81246597
0,0,0.27369007,0.7263099
0,0,0.2479155,0.7520845
0,1,0.6130532,0.3869468
0,1,0.83206266,0.16793734
1,0,0.31938627,0.68061376
0,0,0.48149845,0.5185015
1,0,0.18046641,0.8195336
0,0,0.33561608,0.6643839
0,0,0.08792982,0.91207016
0,0,0.29188776,0.70811224
0,0,0.22191173,0.7780883
1,1,0.78147936,0.21852064
0,0,0.14031135,0.85968864
0,1,0.5741486,0.4258514
0,0,0.25720575,0.7427943
0,0,0.11894548,0.8810545
0,0,0.22330335,0.7766967
0,0,0.045176044,0.954824
0,0,0.14132321,0.8586768
1,0,0.2417914,0.75820863
1,1,0.9148334,0.08516657
1,1,0.81588125,0.18411875
0,1,0.5182954,0.4817046
0,0,0.14338684,0.85661316
0,0,0.14804807,0.85195196
0,1,0.51138186,0.48861814
1,1,0.71037734,0.28962266
1,1,0.77009207,0.22990793
1,1,0.8818415,0.11815852
0,0,0.20825297,0.79174703
0,0,0.38451496,0.6154851
1,1,0.8910226,0.10897738
1,0,0.11896,0.88104
0,1,0.5780682,0.4219318
0,0,0.49656984,0.5034301
0,0,0.068104215,0.9318958
1,1,0.9154176,0.08458239
0,0,0.30573344,0.69426656
0,0,0.12904096,0.87095904
0,0,0.2616953,0.73830473
1,1,0.61981493,0.38018507
