y_true,y_pred,prob_positive,prob_negative
0,0,0.32346308,0.6765369
1,0,0.25268382,0.7473162
0,0,0.24819265,0.75180733
1,0,0.34611484,0.6538851
1,1,0.6368397,0.3631603
0,1,0.5282184,0.4717816
0,0,0.07808237,0.9219176
0,0,0.38030696,0.61969304
1,1,0.804414,0.19558603
1,0,0.26289746,0.7371025
1,1,0.64592767,0.35407233
0,0,0.4021323,0.5978677
0,0,0.24783535,0.75216466
1,0,0.37428984,0.6257101
1,1,0.5693061,0.43069392
1,1,0.84406114,0.15593886
0,0,0.3865055,0.6134945
0,0,0.1590235,0.8409765
1,0,0.40450263,0.59549737
0,0,0.30376557,0.69623446
1,1,0.8817468,0.11825317
0,0,0.13128038,0.86871964
0,1,0.55388117,0.44611883
1,0,0.12428852,0.8757115
0,0,0.23605268,0.7639473
1,0,0.2973152,0.70268476
0,0,0.2830482,0.7169518
0,0,0.27398908,0.7260109
0,0,0.36216876,0.6378312
0,1,0.7786571,0.22134292
1,1,0.7747853,0.22521472
0,0,0.43630412,0.5636959
0,0,0.14214969,0.8578503
0,0,0.3235112,0.67648876
0,0,0.33250043,0.66749954
1,0,0.17782213,0.8221779
0,1,0.8611968,0.13880318
0,0,0.13539577,0.86460423
0,1,0.5006858,0.4993142
0,0,0.0758921,0.9241079
1,1,0.8945098,0.10549021
0,1,0.7191822,0.2808178
0,0,0.12449355,0.87550646
1,1,0.6905622,0.3094378
1,0,0.18740751,0.8125925
0,1,0.62212336,0.37787664
1,1,0.8762368,0.1237632
0,0,0.14641915,0.85358083
1,1,0.7979935,0.20200652
0,0,0.15812339,0.8418766
0,0,0.32540634,0.6745937
1,1,0.81559515,0.18440485
0,0,0.13725182,0.86274815
1,0,0.4429067,0.55709326
1,1,0.7587547,0.24124533
0,1,0.5177456,0.4822544
0,0,0.13357402,0.866426
0,0,0.042637847,0.9573622
1,0,0.1284729,0.8715271
1,0,0.37748414,0.62251586
0,1,0.7188237,0.28117633
1,0,0.25533947,0.7446605
0,0,0.28974247,0.71025753
0,0,0.36585325,0.63414675
1,1,0.92951995,0.07048005
0,0,0.3791164,0.6208836
1,0,0.34650788,0.6534921
1,0,0.39729384,0.6027062
1,0,0.29818448,0.7018155
1,1,0.64036036,0.35963964
1,1,0.5697946,0.4302054
0,0,0.10303593,0.8969641
0,0,0.027997565,0.97200245
0,1,0.92710394,0.07289606
1,0,0.26166067,0.7383393
1,1,0.5749606,0.4250394
0,1,0.5660944,0.4339056
0,0,0.13589956,0.86410046
0,0,0.12712,0.87288
1,0,0.2132889,0.7867111
1,1,0.7170327,0.28296733
0,0,0.18955727,0.81044275
0,1,0.6148342,0.3851658
0,0,0.27343273,0.72656727
0,0,0.33396295,0.6660371
0,0,0.24692822,0.7530718
1,1,0.600219,0.399781
0,0,0.2878464,0.7121536
0,0,0.39966345,0.60033655
0,0,0.2345348,0.7654652
0,0,0.3078509,0.6921491
0,0,0.34407339,0.6559266
0,0,0.12717299,0.872827
0,0,0.25445977,0.74554026
0,0,0.067673616,0.9323264
1,1,0.5651869,0.43481308
0,0,0.0861292,0.9138708
1,1,0.5055051,0.49449492
1,0,0.4757123,0.5242877
1,1,0.8805058,0.1194942
0,0,0.19910555,0.80089444
0,0,0.22677273,0.7732273
0,0,0.22086364,0.77913636
0,0,0.28652063,0.7134794
0,1,0.8999174,0.10008258
0,0,0.28606158,0.7139384
0,0,0.16690977,0.83309025
0,0,0.46133503,0.53866494
0,1,0.6140444,0.38595557
1,0,0.1429214,0.8570786
0,0,0.0854526,0.9145474
1,0,0.16135487,0.8386451
1,0,0.32642746,0.67357254
0,1,0.706521,0.29347903
0,0,0.12520911,0.8747909
0,0,0.42978954,0.57021046
0,1,0.81401896,0.18598104
1,0,0.29531583,0.70468414
1,0,0.31504086,0.6849592
1,0,0.2791393,0.7208607
1,0,0.3266832,0.67331684
1,0,0.27985874,0.7201413
0,0,0.44274297,0.55725706
0,0,0.11713821,0.8828618
1,0,0.076403596,0.9235964
1,0,0.12638167,0.87361836
0,0,0.29519287,0.70480716
1,0,0.15785414,0.84214586
0,0,0.3337254,0.6662746
0,1,0.53656644,0.46343356
1,1,0.52548313,0.47451687
0,0,0.4790478,0.5209522
0,1,0.609331,0.390669
1,1,0.6739876,0.32601237
0,0,0.16227345,0.83772653
0,1,0.90349126,0.09650874
0,1,0.5427346,0.45726538
0,0,0.17657615,0.82342386
0,0,0.105907805,0.8940922
0,0,0.17562467,0.82437533
1,1,0.9150274,0.08497262
0,0,0.19793083,0.8020692
1,1,0.876587,0.12341303
1,0,0.35829008,0.6417099
1,0,0.33942637,0.6605736
1,0,0.19659847,0.8034015
0,0,0.0685772,0.9314228
1,1,0.5990754,0.40092462
1,1,0.9494096,0.050590396
1,1,0.6879124,0.3120876
1,1,0.8589421,0.14105791
1,1,0.53781587,0.46218413
0,0,0.16737956,0.83262044
0,0,0.30221412,0.69778585
1,0,0.24405888,0.75594115
0,0,0.39739373,0.6026063
1,0,0.27427155,0.72572845
1,0,0.3449089,0.6550911
1,0,0.4106426,0.5893574
1,1,0.919488,0.08051199
1,0,0.27362508,0.7263749
1,0,0.44345874,0.55654126
1,1,0.8992808,0.10071921
0,0,0.20636609,0.79363394
1,1,0.73209906,0.26790094
0,0,0.4645215,0.5354785
0,0,0.29280657,0.70719343
0,1,0.50111926,0.49888074
1,1,0.6706343,0.32936567
0,0,0.38705203,0.61294794
0,0,0.25866923,0.74133074
1,1,0.9159711,0.0840289
1,1,0.97133744,0.028662562
1,0,0.09747514,0.9025248
0,0,0.2145066,0.7854934
0,0,0.15519916,0.84480083
1,0,0.48762903,0.51237094
0,0,0.43433845,0.56566155
0,1,0.53986263,0.46013737
0,1,0.8252989,0.1747011
0,0,0.043728203,0.95627177
1,0,0.13133575,0.86866426
0,0,0.43468344,0.56531656
1,0,0.2578386,0.7421614
0,0,0.3142464,0.6857536
1,1,0.6314379,0.3685621
1,1,0.70248944,0.29751056
0,0,0.22707804,0.772922
1,1,0.80157757,0.19842243
1,0,0.03211678,0.9678832
1,0,0.21575114,0.7842488
0,0,0.16593044,0.83406955
0,0,0.05876417,0.94123584
1,1,0.6721739,0.32782608
0,1,0.6882933,0.31170672
0,0,0.30639777,0.6936022
0,1,0.9784212,0.021578789
0,0,0.29120138,0.70879865
0,0,0.13415061,0.8658494
0,0,0.13924061,0.8607594
0,0,0.4258193,0.5741807
0,0,0.38435426,0.61564577
1,1,0.9223863,0.07761371
1,1,0.7986312,0.20136881
1,0,0.49777195,0.502228
0,0,0.34048268,0.6595173
0,0,0.48848987,0.51151013
0,0,0.48193187,0.51806813
1,0,0.28802818,0.7119718
0,0,0.36390528,0.6360947
0,1,0.72502136,0.27497864
0,1,0.805787,0.19421297
1,0,0.44096565,0.55903435
1,1,0.816071,0.18392903
1,1,0.50974435,0.49025565
0,1,0.57923746,0.42076254
0,0,0.27580646,0.7241936
1,1,0.5487935,0.4512065
1,1,0.5980272,0.40197277
0,0,0.3935874,0.6064126
1,0,0.16931455,0.83068544
0,0,0.42815158,0.5718484
0,0,0.4737364,0.5262636
0,0,0.17123708,0.8287629
0,0,0.13884838,0.86115164
0,0,0.28455493,0.71544504
0,0,0.26253557,0.7374644
0,0,0.27407098,0.725929
1,0,0.28436747,0.71563256
0,1,0.63905704,0.36094296
0,1,0.7573406,0.24265939
0,0,0.40530825,0.59469175
0,1,0.52633446,0.47366554
1,1,0.651057,0.348943
1,0,0.25930038,0.74069965
1,0,0.4843101,0.5156899
0,0,0.10719476,0.8928052
0,1,0.6582958,0.3417042
0,0,0.08111866,0.91888136
1,1,0.6788376,0.3211624
0,1,0.6615488,0.3384512
1,0,0.44008768,0.5599123
0,0,0.11303486,0.88696516
0,0,0.2219531,0.7780469
1,1,0.8331069,0.16689312
0,0,0.3766843,0.6233157
1,0,0.32825896,0.671741
0,0,0.257545,0.742455
1,1,0.71611303,0.28388697
0,0,0.08276376,0.9172362
1,0,0.42000413,0.5799959
1,0,0.44653946,0.55346054
1,1,0.50315857,0.49684143
0,0,0.17737617,0.82262385
1,0,0.25713015,0.74286985
1,0,0.49888313,0.5011169
0,0,0.42477304,0.57522696
1,0,0.38115683,0.6188432
1,1,0.76328415,0.23671585
1,1,0.5698442,0.4301558
0,0,0.41099554,0.58900446
0,0,0.39674732,0.60325265
1,0,0.23269582,0.7673042
0,0,0.44992554,0.55007446
1,1,0.7641962,0.23580378
0,0,0.08735597,0.912644
0,0,0.21178897,0.78821105
1,0,0.22727267,0.7727273
1,0,0.17882136,0.8211787
0,1,0.8117863,0.1882137
1,1,0.92426056,0.07573944
1,0,0.32578442,0.67421556
0,0,0.1804576,0.8195424
0,0,0.12291835,0.87708163
0,0,0.11240595,0.88759404
1,1,0.7593736,0.2406264
0,0,0.35535398,0.64464605
1,1,0.8190183,0.1809817
0,0,0.4052454,0.5947546
0,1,0.58569336,0.41430664
0,1,0.543113,0.456887
0,0,0.26992354,0.73007643
0,0,0.3696491,0.6303509
0,0,0.43701446,0.56298554
1,0,0.13041437,0.86958563
1,0,0.2512342,0.7487658
1,1,0.82453597,0.17546403
0,0,0.3338385,0.66616154
0,0,0.43213946,0.56786054
1,1,0.5216694,0.4783306
0,1,0.6799732,0.32002681
0,0,0.21007305,0.78992695
1,0,0.26859578,0.7314042
0,1,0.9058054,0.09419459
0,0,0.26977366,0.73022634
0,0,0.4760762,0.5239238
0,0,0.39846963,0.6015304
0,1,0.5028794,0.49712062
0,0,0.42064244,0.57935756
0,0,0.22574358,0.7742564
0,0,0.23218715,0.76781285
1,1,0.90277416,0.097225845
0,0,0.24713649,0.7528635
0,1,0.6238519,0.3761481
1,1,0.9742279,0.025772095
1,0,0.23303375,0.7669662
1,1,0.8048316,0.19516838
1,1,0.8969019,0.103098094
1,0,0.28684136,0.7131586
1,1,0.9612584,0.03874159
0,1,0.7519075,0.24809247
0,1,0.5792762,0.4207238
0,0,0.4378786,0.5621214
1,1,0.9312158,0.06878418
0,0,0.09631654,0.9036835
0,0,0.21637318,0.7836268
0,1,0.8714305,0.12856948
0,0,0.4404043,0.5595957
0,0,0.18277442,0.8172256
0,0,0.49881625,0.50118375
0,1,0.5404221,0.45957792
0,0,0.18694775,0.81305224
0,0,0.45138106,0.5486189
1,1,0.7003469,0.2996531
0,0,0.21155202,0.788448
1,1,0.9535557,0.046444297
1,0,0.026580114,0.9734199
0,1,0.89992636,0.100073636
1,1,0.72099054,0.27900946
1,0,0.27555838,0.72444165
0,0,0.09027514,0.90972483
0,1,0.6650098,0.3349902
0,0,0.42724165,0.5727583
1,1,0.69415694,0.30584306
0,0,0.20767424,0.79232574
1,1,0.56952566,0.43047434
0,1,0.51962954,0.48037046
1,1,0.58582103,0.41417897
1,1,0.84541684,0.15458316
