y_true,y_pred,prob_positive,prob_negative
0,0,0.17739172,0.8226083
1,1,0.8776172,0.12238282
0,0,0.22353591,0.7764641
1,0,0.07068831,0.9293117
1,1,0.84848875,0.15151125
0,0,0.29385385,0.7061461
0,0,0.22467582,0.77532417
0,1,0.61342037,0.38657963
1,1,0.79138273,0.20861727
1,1,0.934723,0.06527698
1,1,0.9058627,0.09413731
0,0,0.27262262,0.7273774
0,0,0.25221896,0.74778104
1,1,0.89325845,0.10674155
1,1,0.57653534,0.42346466
1,1,0.8586458,0.1413542
0,0,0.26840168,0.7315983
0,0,0.18161175,0.8183882
1,0,0.3877479,0.6122521
0,0,0.12999377,0.8700062
1,1,0.92538625,0.07461375
0,0,0.14741737,0.85258263
0,1,0.81262094,0.18737906
1,1,0.81669766,0.18330234
0,0,0.35391235,0.64608765
1,0,0.23517211,0.7648279
0,0,0.414695,0.585305
0,0,0.2521408,0.74785924
0,0,0.10458944,0.89541054
0,1,0.96323913,0.036760867
1,1,0.85437787,0.14562213
0,0,0.16506036,0.83493966
0,0,0.38207012,0.6179299
0,0,0.33058935,0.66941065
0,0,0.14437559,0.85562444
1,1,0.68071336,0.31928664
0,1,0.8477531,0.15224689
0,0,0.27442908,0.7255709
0,0,0.16769572,0.8323043
0,0,0.2293394,0.7706606
1,1,0.8208319,0.1791681
0,0,0.2217217,0.7782783
0,0,0.25520232,0.7447977
1,1,0.94790804,0.052091956
1,1,0.9000059,0.09999412
0,1,0.64298433,0.35701567
1,1,0.89111197,0.10888803
0,0,0.16824889,0.8317511
1,1,0.962832,0.037168026
0,0,0.17075598,0.829244
0,0,0.12301342,0.87698656
1,1,0.65080386,0.34919614
0,1,0.5268225,0.4731775
1,1,0.81644,0.18356001
1,1,0.7428915,0.2571085
0,0,0.13708524,0.86291474
0,0,0.31067955,0.68932045
0,0,0.16261448,0.83738554
1,0,0.19416204,0.805838
1,0,0.20829502,0.791705
0,0,0.20250827,0.7974917
1,0,0.15989457,0.8401054
0,0,0.36952013,0.6304799
