y_true,y_pred,prob_positive,prob_negative
0,0,0.34962562,0.6503744
1,1,0.68396485,0.31603515
0,0,0.38799942,0.6120006
1,0,0.34621426,0.6537857
1,1,0.8966655,0.10333449
0,0,0.29655176,0.70344824
0,0,0.30434194,0.6956581
0,1,0.76820654,0.23179346
1,1,0.6355139,0.3644861
1,0,0.3237647,0.6762353
1,1,0.86382675,0.13617325
0,0,0.06472335,0.9352766
0,1,0.54423237,0.45576763
1,1,0.82828027,0.17171973
1,0,0.20669937,0.7933006
1,1,0.75119615,0.24880385
0,0,0.25926456,0.7407354
0,0,0.13034739,0.8696526
1,0,0.42592975,0.5740702
0,0,0.29230508,0.7076949
1,1,0.9222655,0.07773447
0,0,0.24385145,0.7561486
0,0,0.3412533,0.6587467
1,1,0.6042896,0.3957104
0,0,0.4479061,0.55209386
1,0,0.19118428,0.8088157
0,0,0.28154048,0.7184595
0,0,0.16165891,0.8383411
0,0,0.08482396,0.91517603
0,1,0.7611137,0.2388863
1,1,0.8015988,0.19840121
0,0,0.24996853,0.7500315
0,0,0.23098314,0.76901686
0,0,0.31925663,0.68074334
0,0,0.20010501,0.799895
1,1,0.72393835,0.27606165
0,1,0.9262151,0.07378489
0,0,0.03665245,0.96334755
0,0,0.2553608,0.74463916
0,1,0.60432863,0.39567137
1,1,0.87297535,0.12702465
0,0,0.12916327,0.87083673
0,0,0.062095888,0.9379041
1,1,0.85948783,0.14051217
1,0,0.32049128,0.6795087
0,1,0.813658,0.186342
1,1,0.8944142,0.10558581
0,0,0.12444869,0.87555134
1,1,0.84711415,0.15288585
0,0,0.2511821,0.7488179
0,0,0.49111387,0.5088861
1,1,0.8146272,0.18537283
0,0,0.05380655,0.94619346
1,1,0.8587256,0.1412744
1,0,0.30770496,0.6922951
0,0,0.1199072,0.8800928
0,0,0.3823862,0.6176138
0,0,0.03205822,0.96794176
1,0,0.08291311,0.9170869
1,0,0.34852773,0.6514723
0,0,0.37055776,0.6294422
1,0,0.42013544,0.57986456
0,0,0.27441567,0.7255843
0,0,0.46880576,0.5311942
1,1,0.75834876,0.24165124
0,0,0.2567251,0.7432749
1,1,0.6800233,0.3199767
1,0,0.4740183,0.52598166
1,1,0.54991657,0.45008343
1,1,0.84648114,0.15351886
1,1,0.9118377,0.0881623
0,0,0.15073787,0.8492621
0,0,0.21796255,0.78203744
0,0,0.49188057,0.50811946
1,0,0.09371289,0.90628713
1,1,0.8620966,0.13790339
0,0,0.3363601,0.6636399
0,0,0.18023899,0.81976104
0,0,0.2667741,0.73322594
1,0,0.4836282,0.5163718
1,1,0.92678773,0.073212266
0,0,0.15591192,0.8440881
0,1,0.50975716,0.49024284
0,0,0.3938207,0.6061793
0,0,0.1839976,0.81600237
0,0,0.19775955,0.80224043
1,0,0.4326912,0.5673088
0,0,0.12210666,0.8778933
0,1,0.6059995,0.39400047
0,0,0.18881498,0.811185
0,0,0.44197246,0.5580275
0,1,0.51978415,0.48021585
0,0,0.14672776,0.85327226
0,0,0.3451791,0.6548209
0,0,0.0654109,0.9345891
1,1,0.9169935,0.0830065
0,0,0.12090356,0.87909645
1,1,0.87228113,0.12771887
1,1,0.66812974,0.33187026
1,1,0.93308246,0.06691754
0,0,0.36635154,0.63364846
0,0,0.38413337,0.61586666
0,0,0.118276544,0.88172346
0,0,0.16737609,0.8326239
0,1,0.9086389,0.091361105
0,1,0.60622346,0.39377654
0,0,0.25610903,0.743891
0,0,0.11051312,0.8894869
0,0,0.3650484,0.6349516
1,0,0.36068946,0.63931054
0,0,0.17219874,0.8278012
1,0,0.29172957,0.70827043
1,0,0.4226515,0.5773485
0,0,0.22968331,0.7703167
0,0,0.21153495,0.788465
0,1,0.84337014,0.15662986
0,1,0.89862144,0.10137856
1,0,0.281582,0.718418
1,0,0.08417606,0.91582394
1,0,0.38339776,0.61660224
1,1,0.7474431,0.25255692
1,1,0.5255716,0.47442842
0,0,0.17329635,0.82670367
0,0,0.23302346,0.76697654
1,0,0.26285776,0.7371422
1,1,0.67157125,0.32842875
0,0,0.31569022,0.6843098
1,0,0.25300145,0.74699855
0,0,0.27944428,0.7205557
0,1,0.6846972,0.3153028
1,1,0.89634836,0.10365164
0,0,0.3906694,0.6093306
0,1,0.7515437,0.2484563
1,1,0.92458427,0.07541573
0,0,0.2855132,0.71448684
0,1,0.9087412,0.091258824
0,0,0.41207728,0.5879227
0,0,0.30584922,0.6941508
0,0,0.15060766,0.84939235
0,0,0.3630325,0.63696754
1,1,0.909452,0.09054798
0,0,0.36635387,0.63364613
1,1,0.8931743,0.10682571
1,0,0.2737357,0.7262643
1,0,0.45684153,0.5431585
1,0,0.30112368,0.6988763
0,0,0.16321951,0.8367805
1,0,0.49675485,0.5032451
1,1,0.58587027,0.41412973
1,0,0.43853784,0.56146216
1,1,0.915503,0.084496975
1,0,0.42486525,0.57513475
0,0,0.19833587,0.8016641
0,0,0.26554856,0.7344514
1,1,0.6566741,0.3433259
0,1,0.7426781,0.2573219
1,1,0.608287,0.39171302
1,1,0.5220296,0.47797042
1,1,0.8606506,0.1393494
1,1,0.8678175,0.13218248
1,0,0.15897661,0.8410234
1,1,0.8289251,0.17107493
1,1,0.89719373,0.10280627
0,0,0.15602507,0.84397495
1,1,0.71751106,0.28248894
0,1,0.7622462,0.23775381
0,0,0.37454185,0.6254581
0,0,0.22743158,0.7725684
1,1,0.6919059,0.30809408
0,0,0.39190716,0.60809284
0,1,0.6293794,0.3706206
1,1,0.90305614,0.096943855
1,1,0.54977065,0.45022935
1,0,0.13595712,0.8640429
0,0,0.48216885,0.51783115
0,0,0.22624949,0.77375054
1,0,0.41685677,0.58314323
0,0,0.31042892,0.6895711
0,0,0.39404136,0.60595864
0,1,0.7260942,0.2739058
0,0,0.3182323,0.6817677
1,1,0.8598824,0.14011759
0,0,0.450376,0.54962397
1,1,0.78601885,0.21398115
0,0,0.16147348,0.8385265
1,1,0.7474328,0.25256717
1,0,0.29014754,0.70985246
0,0,0.23077351,0.7692265
1,1,0.8421411,0.15785891
1,0,0.24776523,0.75223476
1,1,0.679795,0.32020497
0,1,0.64596266,0.35403734
0,0,0.14654756,0.85345244
1,1,0.8104766,0.1895234
0,1,0.90467674,0.095323265
0,1,0.59336895,0.40663105
0,1,0.74914205,0.25085795
0,1,0.5120268,0.4879732
0,0,0.080257505,0.91974247
0,0,0.22079128,0.7792087
0,0,0.10739622,0.89260375
0,0,0.4023358,0.59766424
1,1,0.5898387,0.41016132
1,1,0.73564816,0.26435184
1,0,0.39036408,0.60963595
0,0,0.4615284,0.5384716
0,0,0.48019928,0.5198007
0,0,0.19649577,0.8035042
1,0,0.40344098,0.59655905
0,0,0.3497869,0.6502131
0,0,0.18614544,0.8138546
0,0,0.30326658,0.6967334
1,1,0.83896774,0.16103226
1,1,0.6345819,0.36541808
1,1,0.80401266,0.19598734
0,1,0.72870046,0.27129954
0,0,0.16888908,0.83111095
1,0,0.4725134,0.52748656
1,1,0.9135434,0.0864566
0,1,0.8677744,0.13222557
1,1,0.52674484,0.47325516
0,0,0.35011336,0.6498866
0,0,0.16737595,0.8326241
0,0,0.33356988,0.6664301
0,0,0.24708037,0.7529196
0,0,0.13196464,0.8680354
0,1,0.50412256,0.49587744
0,0,0.17453468,0.8254653
1,0,0.486172,0.51382804
0,1,0.7094257,0.2905743
0,1,0.5023911,0.4976089
0,0,0.22534533,0.7746547
0,1,0.58392334,0.41607666
1,1,0.933032,0.066968024
1,1,0.7340431,0.26595688
1,1,0.8758817,0.12411833
0,0,0.4678603,0.53213966
0,0,0.28623706,0.71376294
0,0,0.1506156,0.8493844
1,1,0.91951185,0.080488145
0,1,0.7384406,0.26155943
1,1,0.7331401,0.2668599
0,0,0.12452644,0.87547356
0,1,0.7713669,0.2286331
1,1,0.7921642,0.2078358
0,0,0.48331955,0.5166805
1,0,0.4836438,0.5163562
0,1,0.94699806,0.05300194
1,1,0.8033781,0.1966219
0,0,0.35662028,0.6433797
1,0,0.36152083,0.6384792
1,1,0.5181351,0.48186493
1,0,0.26161554,0.7383845
0,0,0.32735115,0.67264885
1,1,0.951814,0.048186004
1,1,0.82760274,0.17239726
0,1,0.6753481,0.3246519
1,0,0.4095679,0.5904321
1,1,0.8029435,0.19705647
1,1,0.92415965,0.075840354
0,0,0.16424008,0.83575994
0,0,0.17102051,0.8289795
1,0,0.3552138,0.64478624
0,0,0.4555164,0.5444836
1,1,0.59922856,0.40077144
0,0,0.39892402,0.601076
0,0,0.16531394,0.83468604
1,1,0.81505936,0.18494064
1,0,0.36195198,0.63804805
0,0,0.20928784,0.7907122
1,1,0.8540374,0.1459626
1,0,0.20783557,0.79216444
0,0,0.36495104,0.635049
0,0,0.11762312,0.8823769
0,0,0.2157651,0.7842349
1,1,0.88263416,0.11736584
0,0,0.39066446,0.60933554
1,1,0.8941853,0.105814695
0,1,0.5037117,0.4962883
0,0,0.22053982,0.7794602
0,0,0.33834234,0.6616577
0,0,0.06655463,0.9334454
0,0,0.36498025,0.6350198
0,1,0.5370689,0.4629311
1,1,0.52943456,0.47056544
1,0,0.24670142,0.7532986
1,1,0.9104346,0.0895654
0,0,0.15593909,0.8440609
0,0,0.33852676,0.6614733
1,0,0.28738633,0.7126137
0,0,0.33797535,0.6620246
0,0,0.16895746,0.8310425
1,0,0.30331016,0.69668984
0,1,0.91549605,0.08450395
0,0,0.18956694,0.81043303
0,0,0.43391016,0.56608987
0,0,0.4896698,0.5103302
0,1,0.610657,0.38934302
0,0,0.15994278,0.84005725
0,0,0.26754895,0.7324511
0,0,0.3580086,0.6419914
1,1,0.8880542,0.11194581
0,0,0.24805553,0.7519445
0,0,0.29023746,0.7097626
1,1,0.8267144,0.1732856
1,0,0.3510412,0.6489588
1,1,0.8948501,0.105149925
1,1,0.8099328,0.19006717
1,1,0.5037339,0.49626613
1,1,0.88587815,0.114121854
0,1,0.7932684,0.20673162
