y_true,y_pred,prob_positive,prob_negative
0,0,0.29049134,0.70950866
1,0,0.15372656,0.8462734
0,0,0.46898347,0.5310165
1,0,0.19886264,0.8011373
1,0,0.38659596,0.61340404
0,0,0.31117657,0.68882346
0,0,0.11657505,0.88342494
0,1,0.61388755,0.38611245
1,1,0.7443591,0.25564092
1,1,0.65761137,0.34238863
1,1,0.8458201,0.15417987
0,0,0.27537683,0.7246232
0,1,0.61510414,0.38489586
1,0,0.46010125,0.53989875
1,1,0.77357423,0.22642577
1,1,0.7263942,0.27360582
0,0,0.43479654,0.5652034
0,0,0.23928057,0.7607194
1,0,0.34993726,0.65006274
0,0,0.4512774,0.5487226
1,1,0.8241465,0.17585349
0,0,0.2549765,0.7450235
0,0,0.21268086,0.7873191
1,0,0.48052922,0.5194708
0,1,0.59580904,0.40419096
1,1,0.7603056,0.23969442
0,0,0.12054155,0.8794584
0,0,0.31498903,0.68501097
0,0,0.31969056,0.6803094
0,0,0.4567089,0.5432911
1,0,0.1735558,0.8264442
0,0,0.2931569,0.70684314
0,0,0.3721305,0.6278695
0,1,0.5615263,0.4384737
0,0,0.36891818,0.6310818
1,0,0.35937828,0.6406217
0,1,0.5691603,0.43083972
0,1,0.5399891,0.4600109
0,0,0.16417629,0.8358237
0,0,0.37023854,0.62976146
1,1,0.7711796,0.22882038
0,0,0.31341434,0.68658566
0,0,0.14672868,0.8532713
1,0,0.39110014,0.60889983
1,0,0.133162,0.866838
0,1,0.53565794,0.46434206
1,1,0.596553,0.40344697
0,0,0.36127016,0.6387298
1,0,0.40887496,0.591125
0,0,0.1905485,0.8094515
0,0,0.25718865,0.7428113
1,1,0.6131101,0.38688987
0,0,0.34172857,0.65827143
1,0,0.09822986,0.9017701
1,1,0.7701593,0.2298407
0,0,0.23923174,0.7607683
0,1,0.6470522,0.35294777
0,0,0.13097028,0.8690297
1,0,0.20220843,0.7977916
1,0,0.24123347,0.75876653
0,1,0.5232115,0.47678852
1,0,0.29148144,0.70851856
0,0,0.24463533,0.75536466
0,1,0.76223886,0.23776114
1,1,0.6683496,0.33165038
0,1,0.65719306,0.34280694
1,0,0.46024615,0.53975385
1,1,0.58982205,0.41017795
1,0,0.06990706,0.93009293
1,1,0.70190096,0.29809904
1,1,0.8304862,0.16951382
0,0,0.21370351,0.7862965
0,0,0.4547877,0.54521227
0,0,0.3054415,0.6945585
1,0,0.20891339,0.7910866
1,0,0.18042889,0.81957114
0,1,0.65705895,0.34294105
0,0,0.31516942,0.68483055
0,0,0.20657222,0.79342777
1,0,0.1979199,0.8020801
1,1,0.6615833,0.3384167
0,0,0.3489836,0.6510164
0,0,0.46098223,0.5390178
0,1,0.52420175,0.47579825
0,1,0.7746454,0.22535461
0,0,0.18633579,0.8136642
1,1,0.65585446,0.34414554
0,0,0.25450027,0.74549973
0,1,0.7710237,0.22897631
0,0,0.36303237,0.63696766
0,1,0.5184369,0.4815631
0,1,0.5921929,0.4078071
0,0,0.43917823,0.5608218
0,0,0.24275728,0.75724274
0,0,0.17793809,0.8220619
1,1,0.56138486,0.43861514
0,0,0.3251491,0.67485094
1,0,0.3563158,0.6436842
1,1,0.9056272,0.09437281
1,1,0.81296414,0.18703586
0,0,0.27964365,0.72035635
0,0,0.34937948,0.6506205
0,1,0.5394794,0.46052063
0,1,0.83161503,0.16838497
0,0,0.41374424,0.5862558
0,1,0.51467395,0.48532605
0,0,0.4182949,0.5817051
0,0,0.4338024,0.56619763
0,0,0.1313223,0.86867774
1,0,0.20998487,0.7900151
0,0,0.1180176,0.8819824
1,0,0.15434442,0.84565556
1,1,0.5620377,0.4379623
0,1,0.7240546,0.27594543
0,0,0.24355735,0.75644267
0,1,0.50676066,0.49323934
0,0,0.30369538,0.6963046
1,0,0.46751517,0.5324848
1,1,0.5080079,0.49199212
1,1,0.63999385,0.36000615
1,1,0.66072685,0.33927315
1,0,0.34054515,0.6594548
0,0,0.056972194,0.9430278
0,0,0.45959967,0.5404003
1,0,0.42252403,0.57747597
1,0,0.13575117,0.8642488
0,0,0.25337887,0.74662113
1,0,0.22315407,0.77684593
0,1,0.74484867,0.25515133
0,0,0.25705722,0.7429428
1,1,0.78742754,0.21257246
