y_true,y_pred,prob_positive,prob_negative
0,1,0.61437523,0.38562477
1,0,0.3947772,0.6052228
0,1,0.75438297,0.24561703
1,0,0.4742345,0.52576554
1,1,0.5050804,0.4949196
0,0,0.4657502,0.5342498
0,0,0.03539762,0.96460235
0,1,0.75718004,0.24281996
1,1,0.88445264,0.11554736
1,0,0.4782082,0.5217918
1,1,0.9358614,0.06413859
0,0,0.35863274,0.64136726
0,0,0.11114654,0.88885343
1,1,0.82015175,0.17984825
1,0,0.18492362,0.81507635
1,1,0.82772624,0.17227376
0,0,0.21312475,0.78687525
0,0,0.20255385,0.79744613
1,0,0.31440315,0.6855968
0,0,0.31245187,0.68754816
1,1,0.90029556,0.099704444
0,0,0.37928033,0.6207197
0,0,0.079347335,0.9206527
1,0,0.20067964,0.79932034
0,0,0.3082628,0.6917372
1,0,0.22599244,0.77400756
0,0,0.10534703,0.89465296
0,0,0.36685047,0.6331495
0,0,0.12532888,0.8746711
0,1,0.6799924,0.32000762
1,1,0.7403451,0.25965488
0,0,0.20711555,0.79288447
0,0,0.2708895,0.7291105
0,0,0.31270704,0.68729293
0,0,0.41129708,0.5887029
1,1,0.62678975,0.37321025
0,1,0.83193165,0.16806835
0,0,0.2529299,0.7470701
0,0,0.40838823,0.59161174
0,0,0.2718558,0.72814417
1,0,0.31176722,0.6882328
0,0,0.19558187,0.80441815
0,0,0.24607831,0.7539217
1,1,0.7297056,0.27029443
1,0,0.07491661,0.9250834
0,0,0.48633593,0.51366407
1,1,0.84452283,0.15547717
0,0,0.23496822,0.7650318
1,1,0.56080794,0.43919206
0,0,0.08657519,0.9134248
0,0,0.46365708,0.5363429
1,0,0.48039696,0.519603
0,0,0.3452196,0.6547804
1,0,0.29490143,0.70509857
1,0,0.16318393,0.8368161
0,1,0.5807418,0.41925818
0,0,0.24160081,0.7583992
0,0,0.09034228,0.9096577
1,0,0.085937396,0.9140626
1,0,0.27990705,0.72009295
0,1,0.7698719,0.23012811
1,0,0.37854514,0.62145483
0,0,0.36809653,0.63190347
0,0,0.2881368,0.71186316
1,0,0.48707086,0.51292914
0,1,0.50058454,0.49941546
1,0,0.43415818,0.5658418
1,0,0.29075822,0.70924175
1,0,0.21001025,0.78998977
1,0,0.34247234,0.6575277
1,0,0.22450407,0.77549595
0,0,0.107094534,0.8929055
0,0,0.17524321,0.8247568
0,0,0.15747344,0.84252656
1,0,0.3729965,0.6270035
1,1,0.5648368,0.4351632
0,0,0.14503783,0.85496217
0,0,0.2198549,0.7801451
0,0,0.28783157,0.71216846
1,0,0.28269616,0.7173039
1,1,0.89603424,0.10396576
0,0,0.07026769,0.9297323
0,0,0.3560002,0.6439998
0,0,0.23983975,0.76016027
0,0,0.0870835,0.9129165
0,0,0.09792579,0.9020742
1,0,0.3739252,0.6260748
0,0,0.11152176,0.8884782
0,0,0.12208368,0.87791634
0,1,0.58931834,0.41068166
0,0,0.12125089,0.87874913
0,0,0.26760697,0.732393
0,0,0.24499886,0.7550011
0,0,0.045534294,0.9544657
0,0,0.14292294,0.85707706
1,1,0.68799865,0.31200135
0,0,0.14585494,0.85414505
1,1,0.84108067,0.15891933
1,1,0.655931,0.344069
1,1,0.9505504,0.049449623
0,0,0.11373505,0.8862649
0,0,0.16075903,0.83924097
0,0,0.48631388,0.5136861
0,0,0.16087073,0.83912927
0,1,0.67010653,0.32989347
0,0,0.48403198,0.515968
0,0,0.4971647,0.5028353
0,0,0.3585854,0.64141464
0,0,0.3660517,0.6339483
1,1,0.614973,0.385027
0,0,0.054425962,0.94557405
1,0,0.10989605,0.89010394
1,0,0.15093033,0.84906965
0,1,0.72670406,0.27329594
0,0,0.43501967,0.5649803
0,1,0.85774297,0.14225703
0,1,0.8703161,0.12968391
1,0,0.23305315,0.76694685
1,0,0.34785777,0.6521422
1,1,0.5279722,0.47202778
1,1,0.8878862,0.112113774
1,1,0.52176553,0.47823447
0,1,0.53661627,0.46338373
0,0,0.2737704,0.7262296
1,0,0.1148404,0.8851596
1,0,0.16153751,0.8384625
0,0,0.44745705,0.5525429
1,0,0.33375195,0.6662481
0,0,0.3256247,0.6743753
0,0,0.18224618,0.8177538
1,1,0.9102722,0.08972782
0,1,0.81903034,0.18096966
0,0,0.35690767,0.64309233
1,1,0.82823306,0.17176694
0,0,0.1426684,0.85733163
0,1,0.7102947,0.28970528
0,0,0.48561177,0.5143882
0,0,0.120664895,0.8793351
0,0,0.080750704,0.9192493
0,0,0.34749,0.65251
1,1,0.8824685,0.11753148
0,0,0.044797752,0.9552022
1,1,0.7515433,0.24845672
1,1,0.6744285,0.32557148
1,1,0.5960739,0.40392607
1,0,0.24044912,0.75955087
0,0,0.08876819,0.9112318
1,0,0.47869003,0.52131
1,1,0.97851115,0.021488845
1,1,0.54544693,0.45455307
1,1,0.70955914,0.29044086
1,0,0.25845784,0.74154216
0,1,0.5417361,0.45826387
0,0,0.22122039,0.7787796
1,0,0.23685975,0.76314026
0,0,0.3340379,0.6659621
1,1,0.7568474,0.24315262
1,1,0.6449864,0.3550136
1,1,0.78140646,0.21859354
1,1,0.94610137,0.053898633
1,1,0.64930975,0.35069025
1,1,0.82573795,0.17426205
1,1,0.7130777,0.28692228
0,0,0.23230855,0.76769143
1,1,0.6182602,0.3817398
0,1,0.92501074,0.07498926
0,0,0.26676577,0.7332342
0,0,0.29695246,0.7030475
1,1,0.9092198,0.0907802
0,1,0.71809804,0.28190196
0,0,0.3250105,0.67498946
1,1,0.9177737,0.08222628
1,1,0.9352679,0.064732075
1,0,0.24546865,0.7545314
0,0,0.2742943,0.72570574
0,0,0.17179105,0.8282089
1,1,0.63044626,0.36955374
0,0,0.25349873,0.74650127
0,0,0.28122824,0.71877176
0,0,0.43265787,0.56734216
0,0,0.3794495,0.6205505
1,0,0.12726773,0.8727323
0,0,0.25128415,0.7487159
1,1,0.5334892,0.46651077
0,0,0.072702065,0.92729795
1,0,0.2153079,0.7846921
1,1,0.6959539,0.3040461
0,0,0.09644367,0.90355635
1,1,0.98991793,0.010082066
1,0,0.12981029,0.8701897
1,0,0.46448112,0.5355189
0,0,0.3954245,0.6045755
0,0,0.4429843,0.55701566
1,0,0.48055774,0.51944226
0,0,0.47782153,0.5221785
0,0,0.24010049,0.7598995
0,1,0.99048495,0.009515047
0,0,0.15505938,0.8449406
0,0,0.091231905,0.9087681
0,0,0.23785809,0.76214194
0,0,0.43707967,0.56292033
0,0,0.25590667,0.7440933
1,1,0.9112561,0.088743925
1,1,0.75339264,0.24660736
1,1,0.65644175,0.34355825
0,1,0.5756139,0.42438608
0,1,0.51831406,0.48168594
0,0,0.39341918,0.60658085
1,0,0.37155765,0.62844235
0,0,0.31450388,0.6854961
0,0,0.19642133,0.8035787
0,1,0.6827732,0.31722683
1,0,0.49617797,0.503822
1,1,0.84342676,0.15657324
1,1,0.5288013,0.47119868
0,1,0.57626396,0.42373604
0,0,0.23024613,0.7697539
1,0,0.20433107,0.79566896
1,0,0.47809625,0.52190375
0,0,0.3449653,0.65503466
1,0,0.037875872,0.9621241
0,1,0.66275424,0.33724576
0,0,0.30010194,0.69989806
0,0,0.39083713,0.60916287
0,0,0.2633339,0.7366661
0,0,0.2039872,0.7960128
0,0,0.47412091,0.5258791
0,0,0.12378445,0.8762156
1,0,0.48744926,0.5125507
0,1,0.8270408,0.17295921
0,0,0.47944844,0.52055156
0,0,0.185377,0.814623
0,0,0.42474356,0.57525647
1,1,0.81004095,0.18995905
1,0,0.30337143,0.6966286
1,0,0.43531364,0.56468636
0,0,0.1345743,0.8654257
0,0,0.4255929,0.5744071
0,0,0.1356936,0.8643064
1,1,0.6903716,0.30962843
0,1,0.5183665,0.48163348
1,1,0.74044806,0.25955194
0,0,0.4054713,0.5945287
0,0,0.4190222,0.5809778
1,0,0.3502189,0.6497811
0,1,0.6043641,0.3956359
1,1,0.5813683,0.41863167
0,0,0.48874396,0.51125604
1,1,0.769382,0.230618
0,0,0.16107458,0.8389254
1,0,0.3345932,0.6654068
1,0,0.19285545,0.8071445
1,0,0.30319816,0.69680184
0,0,0.3292149,0.67078507
1,1,0.57543486,0.42456514
1,1,0.62718254,0.37281746
0,1,0.7341407,0.2658593
1,1,0.7254861,0.2745139
1,0,0.43364233,0.5663577
1,0,0.23785065,0.76214933
0,0,0.07865487,0.9213451
0,0,0.23627049,0.7637295
1,0,0.3410821,0.6589179
0,0,0.13845438,0.8615456
1,1,0.93575203,0.064247966
0,0,0.13402744,0.8659726
0,0,0.13897151,0.8610285
1,0,0.23237945,0.76762056
1,0,0.27680483,0.7231952
0,0,0.27055025,0.72944975
1,1,0.8376859,0.16231412
1,0,0.18858154,0.8114185
0,0,0.21377932,0.78622067
0,0,0.09587879,0.9041212
0,0,0.16133286,0.83866715
1,0,0.17843002,0.82157
0,0,0.28509232,0.71490765
1,1,0.9213649,0.0786351
0,1,0.5078703,0.49212968
0,0,0.12738952,0.87261045
0,0,0.17595217,0.8240478
0,0,0.16954167,0.83045834
0,1,0.51658976,0.48341024
0,1,0.7061381,0.29386193
1,1,0.565665,0.434335
1,0,0.36326325,0.63673675
1,1,0.95697004,0.043029964
0,0,0.09125454,0.90874547
0,1,0.683384,0.316616
1,0,0.18009809,0.81990194
0,1,0.6451265,0.35487348
0,0,0.18372291,0.8162771
1,0,0.26869825,0.7313018
0,1,0.86680657,0.13319343
0,0,0.2743604,0.7256396
0,0,0.45821345,0.54178655
0,1,0.556866,0.443134
0,1,0.60557526,0.39442474
0,0,0.2665216,0.7334784
0,0,0.22218107,0.7778189
0,0,0.25492284,0.74507713
1,0,0.4759497,0.5240503
0,0,0.33574933,0.6642507
0,1,0.64218205,0.35781795
1,1,0.97453296,0.025467038
1,0,0.19879462,0.8012054
1,1,0.7928673,0.2071327
1,1,0.57213527,0.42786473
1,1,0.91195786,0.08804214
1,1,0.5238701,0.4761299
0,1,0.70689493,0.29310507
0,0,0.42367187,0.57632816
0,0,0.31140506,0.68859494
1,1,0.84788966,0.15211034
0,0,0.1816732,0.81832683
0,0,0.096814916,0.90318507
0,1,0.6463031,0.35369688
0,0,0.31939566,0.68060434
0,0,0.16156982,0.83843017
0,0,0.1773495,0.8226505
0,1,0.67242825,0.32757175
0,0,0.26522458,0.7347754
0,0,0.25153002,0.74846995
1,0,0.39054033,0.60945964
0,0,0.3093231,0.6906769
1,1,0.96868503,0.03131497
1,0,0.03866999,0.96133
0,1,0.64894164,0.35105836
1,0,0.23282607,0.76717395
1,0,0.19995023,0.8000498
0,0,0.07663606,0.9233639
0,0,0.4186136,0.5813864
0,0,0.22700249,0.7729975
1,1,0.96984404,0.030155957
0,0,0.19549821,0.8045018
1,0,0.29612374,0.70387626
0,1,0.5942872,0.40571278
1,1,0.702113,0.29788703
1,1,0.8972579,0.102742076
0,1,0.5540131,0.44598693
0,0,0.08913157,0.9108684
0,1,0.86698455,0.13301545
0,0,0.4735195,0.5264805
0,0,0.18671651,0.8132835
1,1,0.63302547,0.36697453
1,0,0.30907977,0.69092023
0,0,0.044842705,0.9551573
0,0,0.38782012,0.6121799
0,0,0.20887536,0.79112464
0,0,0.40189257,0.59810746
0,0,0.30830434,0.6916957
0,0,0.2886186,0.71138144
0,0,0.28178635,0.7182137
0,0,0.33239126,0.66760874
0,0,0.2542045,0.7457955
1,1,0.5440389,0.4559611
0,0,0.31325853,0.6867415
0,0,0.33426553,0.66573447
0,0,0.1894214,0.8105786
0,0,0.37158477,0.6284152
1,0,0.33362472,0.6663753
1,1,0.5367406,0.4632594
0,0,0.16471156,0.8352884
1,1,0.81855065,0.18144935
1,1,0.8589499,0.1410501
0,0,0.1726404,0.8273596
1,1,0.7025219,0.29747808
1,1,0.5489667,0.4510333
0,0,0.26135448,0.73864555
0,1,0.63774896,0.36225104
0,0,0.3034835,0.6965165
0,0,0.3769828,0.6230172
0,1,0.66048366,0.33951634
1,0,0.29829308,0.7017069
0,1,0.5252538,0.47474623
1,0,0.3223549,0.6776451
0,0,0.4894995,0.5105005
0,0,0.26562977,0.73437023
0,0,0.10816857,0.8918314
0,0,0.32519954,0.67480046
1,1,0.773776,0.226224
0,0,0.18719469,0.8128053
0,1,0.84771645,0.15228355
0,0,0.22731419,0.7726858
0,0,0.13384645,0.86615354
0,1,0.5109738,0.4890262
0,0,0.20508087,0.79491913
0,0,0.40167314,0.59832686
1,1,0.62506074,0.37493926
1,0,0.19564496,0.804355
1,1,0.9306897,0.06931031
0,0,0.10035558,0.89964443
0,0,0.21507037,0.78492963
0,0,0.33897844,0.6610216
0,1,0.5631911,0.43680888
1,1,0.5910824,0.4089176
1,1,0.8426579,0.15734208
1,1,0.6391637,0.36083633
0,0,0.22961424,0.77038574
0,0,0.1407576,0.8592424
1,0,0.21176963,0.78823036
1,0,0.24383439,0.7561656
0,1,0.51929593,0.48070407
0,0,0.22132424,0.7786758
0,0,0.45654166,0.54345834
1,1,0.62380433,0.37619567
0,0,0.3780244,0.6219756
0,0,0.37644565,0.62355435
0,0,0.35580248,0.6441975
1,0,0.16912326,0.8308767
0,0,0.094095744,0.90590423
0,0,0.47151837,0.5284816
0,0,0.12878633,0.8712137
1,1,0.98628473,0.013715267
1,1,0.7521205,0.2478795
0,0,0.121390626,0.87860936
0,0,0.3985851,0.6014149
1,0,0.43309754,0.56690246
0,1,0.7810398,0.21896023
0,0,0.4230687,0.5769313
0,0,0.42225784,0.57774216
0,0,0.39999962,0.6000004
1,0,0.48065296,0.5193471
0,0,0.30328342,0.69671655
0,0,0.15304735,0.8469527
0,0,0.44561467,0.5543853
1,1,0.7815314,0.2184686
1,1,0.9862141,0.013785899
1,0,0.31702256,0.68297744
1,0,0.27294084,0.7270591
0,1,0.6017716,0.3982284
0,0,0.27998424,0.72001576
0,0,0.3947636,0.6052364
0,0,0.2975187,0.70248127
1,0,0.08168221,0.9183178
0,0,0.23586074,0.7641393
0,0,0.23480469,0.7651953
0,0,0.47218168,0.5278183
1,1,0.6024042,0.39759582
0,0,0.3965283,0.6034717
0,1,0.5399464,0.46005362
0,0,0.21636353,0.78363645
0,1,0.9050964,0.09490359
