Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,0.793,0.7452,0.8249,0.7424,0.5694,0.8316,20
2,CTDT,0.8052,0.7567,0.8376,0.7567,0.5942,0.828,21
3,CTDC,0.7976,0.7376,0.8376,0.7447,0.5771,0.8246,21
4,GAAC,0.8006,0.7186,0.8553,0.7426,0.5811,0.8115,5
5,DPC,0.7367,0.7414,0.7335,0.6927,0.4672,0.7995,400
6,PAAC,0.7504,0.6692,0.8046,0.6822,0.477,0.7904,23
7,BioBERT,0.7062,0.5894,0.7843,0.6163,0.3802,0.7213,768
8,ProtT5,0.6834,0.4943,0.8096,0.5556,0.3214,0.7116,1024
9,ESMC,0.6758,0.5437,0.764,0.5731,0.3142,0.7115,1152
10,ESM2,0.6773,0.5247,0.7792,0.5656,0.3138,0.6976,1280
11,ProtBERT,0.624,0.5095,0.7005,0.5204,0.2116,0.6521,1024
