iter	Passed	Remaining
0	152	15111
1	314	15403
2	467	15101
3	632	15171
4	798	15174
5	955	14972
6	1107	14715
7	1261	14511
8	1419	14348
9	1578	14210
10	1746	14127
11	1906	13981
12	2059	13783
13	2213	13597
14	2366	13411
15	2527	13271
16	2696	13163
17	2848	12978
18	2992	12757
19	3143	12575
20	3317	12478
21	3457	12259
22	3601	12058
23	3740	11845
24	3885	11655
25	4029	11467
26	4166	11265
27	4310	11083
28	4458	10916
29	4602	10740
30	4770	10617
31	4917	10448
32	5102	10360
33	5259	10209
34	5416	10059
35	5583	9926
36	5753	9797
37	5911	9644
38	6063	9484
39	6222	9333
40	6374	9173
41	6523	9009
42	6668	8840
43	6824	8685
44	7001	8557
45	7143	8385
46	7278	8207
47	7410	8027
48	7544	7852
49	7678	7678
50	7816	7510
51	7948	7336
52	8080	7165
53	8211	6994
54	8346	6829
55	8477	6661
56	8607	6493
57	8744	6332
58	8883	6173
59	9014	6009
60	9145	5847
61	9279	5687
62	9414	5529
63	9544	5368
64	9680	5212
65	9820	5058
66	9957	4904
67	10087	4747
68	10220	4592
69	10355	4437
70	10484	4282
71	10614	4128
72	10753	3977
73	10888	3825
74	11024	3674
75	11156	3523
76	11289	3372
77	11418	3220
78	11552	3070
79	11687	2921
80	11820	2772
81	11952	2623
82	12087	2475
83	12218	2327
84	12350	2179
85	12489	2033
86	12635	1888
87	12773	1741
88	12916	1596
89	13052	1450
90	13191	1304
91	13329	1159
92	13464	1013
93	13606	868
94	13751	723
95	13886	578
96	14021	433
97	14160	288
