iter	Logloss
0	0.6889521293
1	0.6851962437
2	0.6810109929
3	0.6771585852
4	0.6732536484
5	0.6695527392
6	0.666122056
7	0.6627446182
8	0.6598017387
9	0.656539626
10	0.652996662
11	0.6499528433
12	0.6463803914
13	0.6439709204
14	0.6410417701
15	0.6377843731
16	0.6351332685
17	0.6327306025
18	0.6301330417
19	0.6272369609
20	0.6244225388
21	0.6218598979
22	0.619192378
23	0.6166989203
24	0.6136152869
25	0.6117346281
26	0.6093778652
27	0.6070117904
28	0.6045934253
29	0.602274149
30	0.5999805404
31	0.5975337618
32	0.5950232322
33	0.5929983573
34	0.5910775854
